blank,Material,Plant,Material Description,MRP Type,Valuation Class,Material Group,Base Unit of Measure,Price Unit,Price Control,Price,Material Type,Last Change,Created by
,90017886,2241,SOLENOID COIL EATON/868982,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017887,2241,SOENOID VALVE EATON/871291,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017888,2241,BRGN BALL NSK/6819,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017889,2241,BRGN GROOVE BALL SCHAEFFLER/2281,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017890,2241,SEAL BRGN  SKF/TSN511L,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017891,2241,ADAPTER SLEEVE INCH SKF/HA 311,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017892,2241,CAM FOLOWER BRNG REGAL B PWR/CF 1-3/8SB,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017893,2241,CAM FOLLOWER BRGN SCHAEFFLER/KR22-PP,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017894,2241,CAM FOLOWER BRNG REGAL B PWR/CF 1-1/2S,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017895,2241,CAM FOLOWER BRNG REGAL B PWR/CF 2SB,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017896,2241,WASHER THR BRG SCHAEFFLER/TWD1828,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017897,2241,CAM FOLLOWER BRGN SKF/KRV 30 PPA,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017898,2241,O-RING BUNA-N 1-5/16IDX1/16W DMR/027,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017899,2241,DIRECTION VALVE EATON/02-119642,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017900,2241,CARTRIDGE VALVE EATON/565539,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017901,2241,SOENOID VALVE EATON/02-119594,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017902,2241,BRGN BALL UNT FLG NSK/SFT45,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017903,2241,INSERT BRG BLL SCHAEFFLER/GLE45-KRR-B,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017904,2241,O-RING BUNA-N 5/16IDX1/16W DMR/011,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017905,2241,SYNC BELT 2000X50x8 GATES/2000-8MGT-50,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017906,2241,SYNC BELT 500X15x5 GATES/500-5M-15,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017907,2241,ROD THR 5/8-18UNCX36 SPAENAUR/866-006ZP,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017908,2241,SHAFT SEAL 3.25X4.2488X.4382 SKF/CR32396,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017909,2241,BRGN INSERT BLL STSCRW REGAL B PWR/3-115,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017910,2241,TORQUE LMTR REGAL B PW/500A-1 TL MPB 7/8,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017911,2241,K DIAPHRAGM LONG ROD NEXEN GP/874590,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017912,2241,INTERNAL HOUSING RING DMR/DHO-052-PA,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017913,2241,O-RING BUNA-N 1-3/16IDX1/8W DMR/217,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017914,2241,O-RING BUNA-N 2-3/16IDX3/32W DMR/139,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017915,2241,O-RING BUNA-N 2IDX3/16W DMR/329,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
,90017916,2241,BRGN THRUST NEEDLE KOYO/NTA-3648,PD,3040,U31162313,EA,1,V,0.01,ZER2,,U362KBOU
