Material,Plant,TotalStock
90000427,1715,0.000
90000428,1715,0.000
90000429,1715,14.000
90000430,1715,1.000
90000431,1715,4.000
90000432,1715,3.000
90000433,1715,1.000
90000434,1715,1.000
90000435,1715,1.000
90000436,1715,1.000
90000437,1715,1.000
90000438,1715,1.000
90000439,1715,1.000
90000440,1715,1.000
90000441,1715,1.000
90000442,1715,1.000
90000443,1715,1.000
90000444,1715,1.000
90000445,1715,1.000
90000446,1715,1.000
90000447,1715,0.000
90000448,1715,1.000
90000449,1715,1.000
90000450,1715,1.000
90000451,1715,1.000
90000452,1715,3.000
90000453,1715,1.000
90000454,1715,1.000
90000455,1715,2.000
90000456,1715,1.000
90000457,1715,1.000
90000458,1715,3.000
90000459,1715,1.000
90000460,1715,1.000
90000461,1715,1.000
90000462,1715,5.000
90000463,1715,7.000
90000464,1715,1.000
90000465,1715,1.000
90000466,1715,6.000
90000467,1715,2.000
90000468,1715,0.000
90000469,1715,20.000
90000470,1715,0.000
90000471,1715,0.000
90000472,1715,1.000
90000473,1715,1.000
90000474,1715,36.000
90000475,1715,2.000
90000476,1715,2.000
90000477,1715,1.000
90000478,1715,1.000
90000479,1715,1.000
90000480,1715,0.000
90000481,1715,1.000
90000482,1715,0.000
90000483,1715,0.000
90000484,1715,0.000
90000485,1715,0.000
90000486,1715,0.000
90000487,1715,0.000
90000488,1715,0.000
90000489,1715,0.000
90000490,1715,0.000
90000491,1715,1.000
90000492,1715,0.000
90000493,1715,0.000
90000494,1715,2.000
90000495,1715,2.000
90000496,1715,64.000
90000497,1715,0.000
90000498,1715,0.000
90000499,1715,1.000
90000500,1715,2.000
90000501,1715,1.000
90000502,1715,1.000
90000503,1715,0.000
90000504,1715,1.000
90000505,1715,3.000
90000506,1715,1.000
90000507,1715,0.000
90000508,1715,0.000
90000509,1715,0.000
90000510,1715,0.000
90000511,1715,0.000
90000512,1715,0.000
90000513,1715,0.000
90000514,1715,0.000
90000515,1715,1.000
90000516,1715,0.000
90000517,1715,2.000
90000518,1715,1.000
90000519,1715,1.000
90000520,1715,0.000
90000521,1715,0.000
90000522,1715,1.000
90000523,1715,1.000
90000524,1715,0.000
90000525,1715,0.000
90000526,1715,0.000
90000527,1715,0.000
90000528,1715,1.000
90000529,1715,0.000
90000530,1715,0.000
90000531,1715,1.000
90000532,1715,1.000
90000533,1715,3.000
90000534,1715,1.000
90000535,1715,0.000
90000536,1715,1.000
90000537,1715,1.000
90000538,1715,6.000
90000540,1715,0.000
90000541,1715,0.000
90000542,1715,0.000
90000543,1715,0.000
90000544,1715,0.000
90000545,1715,0.000
90000546,1715,0.000
90000547,1715,0.000
90000548,1715,0.000
90000549,1715,0.000
90000550,1715,0.000
90000551,1715,0.000
90000552,1715,0.000
90000553,1715,0.000
90000554,1715,0.000
90000555,1715,0.000
90000556,1715,0.000
90000557,1715,0.000
90000558,1715,0.000
90000559,1715,0.000
90000560,1715,0.000
90000561,1715,0.000
90000562,1715,0.000
90000563,1715,0.000
90000564,1715,0.000
90000565,1715,0.000
90000566,1715,0.000
90000567,1715,0.000
90000568,1715,0.000
90000569,1715,0.000
90000570,1715,0.000
90000571,1715,0.000
90000572,1715,0.000
90000573,1715,0.000
90000574,1715,0.000
90000575,1715,0.000
90000576,1715,0.000
90000577,1715,0.000
90000578,1715,0.000
90000579,1715,0.000
90000580,1715,0.000
90000581,1715,0.000
90000582,1715,0.000
90000583,1715,0.000
90000584,1715,2.000
90000585,1715,1.000
90000586,1715,1.000
90000587,1715,0.000
90000588,1715,0.000
90000589,1715,0.000
90000590,1715,0.000
90000591,1715,0.000
90000592,1715,0.000
90000593,1715,0.000
90000594,1715,0.000
90000595,1715,0.000
90000596,1715,0.000
90000597,1715,0.000
90000598,1715,0.000
90000599,1715,0.000
90000600,1715,0.000
90000601,1715,0.000
90000602,1715,0.000
90000603,1715,0.000
90000604,1715,0.000
90000605,1715,0.000
90000606,1715,0.000
90000607,1715,0.000
90000608,1715,0.000
90000609,1715,0.000
90000610,1715,0.000
90000611,1715,0.000
90000612,1715,0.000
90000613,1715,0.000
90000614,1715,0.000
90000615,1715,0.000
90000616,1715,0.000
90000617,1715,0.000
90000618,1715,0.000
90000619,1715,0.000
90000620,1715,0.000
90000621,1715,0.000
90000622,1715,0.000
90000623,1715,0.000
90000624,1715,0.000
90000625,1715,0.000
90000626,1715,0.000
90000627,1715,0.000
90000628,1715,0.000
90000629,1715,0.000
90000630,1715,0.000
90000631,1715,0.000
90000632,1715,0.000
90000633,1715,0.000
90000634,1715,0.000
90000635,1715,0.000
90000636,1715,0.000
90000637,1715,0.000
90000638,1715,0.000
90000639,1715,0.000
90000640,1715,0.000
90000641,1715,0.000
90000642,1715,0.000
90000643,1715,0.000
90000644,1715,0.000
90000645,1715,0.000
90000646,1715,0.000
90000647,1715,0.000
90000648,1715,0.000
90000649,1715,0.000
90000650,1715,0.000
90000651,1715,0.000
90000652,1715,0.000
90000653,1715,0.000
90000654,1715,0.000
90000655,1715,0.000
90000656,1715,0.000
90000657,1715,0.000
90000658,1715,0.000
90000659,1715,0.000
90000660,1715,0.000
90000661,1715,0.000
90000662,1715,0.000
90000663,1715,0.000
90000664,1715,0.000
90000665,1715,0.000
90000666,1715,0.000
90000667,1715,0.000
90000668,1715,0.000
90000669,1715,0.000
90000670,1715,0.000
90000671,1715,0.000
90000672,1715,0.000
90000673,1715,0.000
90000674,1715,0.000
90000675,1715,0.000
90000676,1715,0.000
90000677,1715,3.000
90000678,1715,0.000
90000679,1715,0.000
90000680,1715,0.000
90000681,1715,0.000
90000682,1715,0.000
90000683,1715,0.000
90000684,1715,0.000
90000685,1715,0.000
90000686,1715,0.000
90000687,1715,0.000
90000688,1715,0.000
90000689,1715,0.000
90000690,1715,0.000
90000691,1715,0.000
90000692,1715,0.000
90000693,1715,0.000
90000694,1715,0.000
90000695,1715,0.000
90000696,1715,0.000
90000697,1715,0.000
90000698,1715,0.000
90000699,1715,0.000
90000700,1715,0.000
90000701,1715,0.000
90000702,1715,0.000
90000703,1715,0.000
90000704,1715,0.000
90000705,1715,0.000
90000706,1715,0.000
90000707,1715,0.000
90000708,1715,0.000
90000709,1715,0.000
90000710,1715,0.000
90000711,1715,0.000
90000712,1715,0.000
90000713,1715,0.000
90000714,1715,0.000
90000715,1715,0.000
90000716,1715,0.000
90000717,1715,0.000
90000718,1715,0.000
90000719,1715,0.000
90000720,1715,0.000
90000721,1715,0.000
90000722,1715,0.000
90000723,1715,0.000
90000724,1715,0.000
90000725,1715,0.000
90000726,1715,0.000
90000727,1715,0.000
90000728,1715,0.000
90000729,1715,0.000
90000730,1715,1.000
90000731,1715,0.000
90000732,1715,0.000
90000733,1715,0.000
90000734,1715,0.000
90000735,1715,0.000
90000736,1715,0.000
90000737,1715,2.000
90000738,1715,0.000
90000739,1715,0.000
90000740,1715,0.000
90000741,1715,0.000
90000742,1715,0.000
90000743,1715,0.000
90000744,1715,0.000
90000745,1715,0.000
90000746,1715,0.000
90000747,1715,0.000
90000748,1715,0.000
90000749,1715,0.000
90000750,1715,0.000
90000751,1715,0.000
90000752,1715,0.000
90000753,1715,1.000
90000754,1715,0.000
90000755,1715,0.000
90000756,1715,0.000
90000757,1715,0.000
90000758,1715,1.000
90000759,1715,0.000
90000760,1715,0.000
90000761,1715,0.000
90000762,1715,0.000
90000763,1715,0.000
90000764,1715,0.000
90000765,1715,0.000
90000766,1715,0.000
90000767,1715,0.000
90000768,1715,0.000
90000769,1715,0.000
90000770,1715,0.000
90000771,1715,0.000
90000772,1715,0.000
90000773,1715,0.000
90000774,1715,0.000
90000775,1715,0.000
90000776,1715,0.000
90000777,1715,0.000
90000778,1715,76.000
90000779,1715,0.000
90000780,1715,0.000
90000781,1715,0.000
90000782,1715,0.000
90000783,1715,0.000
90000784,1715,0.000
90000785,1715,0.000
90000786,1715,0.000
90000787,1715,0.000
90000788,1715,0.000
90000789,1715,0.000
90000790,1715,0.000
90000791,1715,0.000
90000792,1715,0.000
90000793,1715,0.000
