"Material";"Plant";"Material Description";"HasStock";"DUPLICATE_REFERENCE";"MANUFACTURER/VENDOR";"PART_NUMBER";"M";"Utopia_OEMFlag";"Z011_NotOEM";"count(Characteristic Value)";"maximum(Criticality)";"count(BOM Usg)";"CLASS";"MFRPN";"MFRNR";"Class1";"Class2";"Fournisseur";"Priority"
90001442;1715;"HOUSING BEARING PCMC 30626810";"true";;"PCMC";"30626810";"PCMC";"NOT OEM";"TRUE";;2;2;;;;;;;14
90001443;1715;"HOUSING BEARING PCMC 30626876";"true";;"PCMC";"30626876";"PCMC";"NOT OEM";"TRUE";;;;;;;;;;8
90000089;1715;"BELT PCMC 110174";"true";;"PCMC";"110174";"PCMC";"NOT OEM";"TRUE";;2;2;;;;;;;14
90002558;1715;"MODULE ELECTRONIC BALLUFF BIS00LH";"true";;"BALLUFF";"BIS00LH";"BALLUFF";"NOT OEM";"FALSE";;;;;;;;;;20
90000423;1715;"RESISTOR PCMC 114611 WIREWOUND 6.5OHM";"true";;"PCMC";"114611";"PCMC";"NOT OEM";"TRUE";1;2;3;;;;;;;6
90000303;1715;"KIT IMPELLER PCMC 63930 REGEN BLOWER";"true";;"PCMC";"63930";"PCMC";"NOT OEM";"TRUE";;2;1;;;;;;;10
90000230;1715;"DRIVE VARIABLE FREQ PCMC 30167607 9A 3PH";"true";;"PCMC";"30167607";"PCMC";"NOT OEM";"TRUE";0;4;15;;;;;;;16
90001926;1715;"GLUE GUN INFINITY 499-0024D";"true";;"INFINITY";"499-0024D";"INFINITY";"NOT OEM";"TRUE";;4;1;;;;;;;12
90000183;1715;"BELT PCMC 30090450.009 76000MM";"true";;"PCMC";"30090450.009";"PCMC";"NOT OEM";"TRUE";0;;;;;;;;;8
90001577;1715;"MOTOR HYDRAULIC PCMC 1054238.02";"true";;"PCMC";"1054238.02";"PCMC";"NOT OEM";"TRUE";;2;2;;;;;;;14
90000517;1715;"SWITCH SAFETY PCMC 30575803";"true";;"PCMC";"30575803";"PCMC";"NOT OEM";"TRUE";;8;11;;;;;;;20
90000519;1715;"SWITCH SAFETY PCMC 30617782 2NC 3 NO";"true";;"PCMC";"30617782";"PCMC";"NOT OEM";"TRUE";2;8;13;;;;;;;12
90000218;1715;"CYLINDER HYDRAULIC PCMC 30458930 100MM";"true";;"PCMC";"30458930";"PCMC";"NOT OEM";"TRUE";0;4;8;;;;;;;16
90000375;1715;"GEARMOTOR AC PCMC 30748107 18.8:1 94RPM";"true";;"PCMC";"30748107";"PCMC";"NOT OEM";"TRUE";1;2;1;;;;;;;2
90000329;1715;"LINEAR MOTION SYST PCMC 30365236";"true";;"PCMC";"30365236";"PCMC";"NOT OEM";"TRUE";;8;24;;;;;;;20
90000162;1715;"CALIPER BRAKE PCMC 30168786 12.7MM";"true";;"PCMC";"30168786";"PCMC";"NOT OEM";"TRUE";0;2;4;;;;;;;14
90000395;1715;"PUMP PISTON PCMC 153651.001.0 NM2304B";"true";;"PCMC";"153651.001.0";"PCMC";"NOT OEM";"TRUE";;;;;;;;;;8
90000374;1715;"GEARMOTOR AC PCMC 30740531 2 159:61:1";"true";;"PCMC";"30740531";"PCMC";"NOT OEM";"TRUE";2;2;3;;;;;;;6
90000330;1715;"LOAD CELL PCMC 78636";"true";;"PCMC";"78636";"PCMC";"NOT OEM";"TRUE";;4;5;;;;;;;16
90000005;1715;"ARBOR BLADE PCMC 30502995";"true";;"PCMC";"30502995";"PCMC";"NOT OEM";"TRUE";;4;2;;;;;;;16
90000116;1715;"BLOWER VACUUM PCMC 153019.001.0";"true";;"PCMC";"153019.001.0";"PCMC";"NOT OEM";"TRUE";1;2;1;;;;;;;2
90000002;1715;"ACTUATOR LINEAR PCMC 30290059 340MM";"true";;"PCMC";"30290059";"PCMC";"NOT OEM";"TRUE";0;2;7;;;;;;;14
90000359;1715;"MOTOR SERVO PCMC 127452 C FACE 1500RPM";"true";;"PCMC";"127452";"PCMC";"NOT OEM";"TRUE";1;2;2;;;;;;;6
90000838;1715;"PULLEY TIMING PCMC 27296 8MM 32T 30MM";"true";;"PCMC";"27296";"PCMC";"NOT OEM";"TRUE";1;2;2;;;;;;;6
90001200;1715;"BELT TIMING PCMC 109962 8MM 536MM PL";"true";;"PCMC";"109962";"PCMC";"NOT OEM";"TRUE";0;2;1;;;;;;;10
90000737;1715;"COUPLING FLEX PCMC 106111 40MM 40MM";"true";;"PCMC";"106111";"PCMC";"NOT OEM";"TRUE";0;2;1;;;;;;;10
90000802;1715;"NOZZLE PCMC 113214.036.0 BRASS 0.013 IN";"true";;"PCMC";"113214.036.0";"PCMC";"NOT OEM";"TRUE";3;4;2;;;;;;;8
90000931;1715;"SHAFT PCMC 30462931";"true";;"PCMC";"30462931";"PCMC";"NOT OEM";"TRUE";;0;1;;;;;;;8
90001097;1715;"BEARING CAM FOLLOWER PCMC 160096.006.2";"true";;"PCMC";"160096.006.2";"PCMC";"NOT OEM";"TRUE";;2;2;;;;;;;14
90001120;1715;"BEARING LINEAR INFINITY 519-0120";"true";;"INFINITY";"519-0120";"INFINITY";"NOT OEM";"TRUE";;4;1;;;;;;;12
90001121;1715;"BEARING LINEAR INFINITY 519-0129 25MM";"true";;"INFINITY";"519-0129";"INFINITY";"NOT OEM";"TRUE";0;;;;;;;;;8
90001158;1715;"BELT INFINITY 129-0939 75mm X 1350mm";"false";;"INFINITY";"129-0939";"INFINITY";"NOT OEM";"TRUE";;0;3;;;;;;;4
90001194;1715;"BELT TIMING INFINITY 531-4023 AT10";"true";;"INFINITY";"531-4023";"INFINITY";"NOT OEM";"TRUE";1;;;;;;;;;0
90001195;1715;"BELT TIMING INFINITY 531-4027 AT10 20MM";"true";;"INFINITY";"531-4027";"INFINITY";"NOT OEM";"TRUE";1;;;;;;;;;0
90001196;1715;"BELT TIMING INFINITY 531-4052A AT20";"true";;"INFINITY";"531-4052A";"INFINITY";"NOT OEM";"TRUE";1;0;2;;;;;;;4
90001197;1715;"BELT TIMING INFINITY 531-4052B AT20";"true";;"INFINITY";"531-4052B";"INFINITY";"NOT OEM";"TRUE";1;0;1;;;;;;;0
90001330;1715;"COUPLING RIGID INFINITY 537-0613 22MM";"true";;"INFINITY";"537-0613";"INFINITY";"NOT OEM";"TRUE";0;;;;;;;;;8
90001457;1715;"KIT PCMC 92184 CYLINDER ADPTR KIT 50MM B";"false";;"PCMC";"92184";"PCMC";"NOT OEM";"TRUE";;0;1;;;;;;;0
90001544;1715;"PULLEY PCMC 150299.025.0 2IN 1.4IN PLSTC";"true";;"PCMC";"150299.025.0";"PCMC";"NOT OEM";"TRUE";1;0;1;;;;;;;0
90001887;1715;"BEARING FLANGED INFINITY 510-1420A 1IN";"false";"GRP-ED-118";"INFINITY";"510-1420A";"INFINITY";"NOT OEM";"TRUE";0;0;1;;;;;;;0
90002068;1715;"BELT FLAT BRETTING 02000942 82MM";"true";;"BRETTING";"02000942";"BRETTING";"NOT OEM";"TRUE";0;0;1;;;;;;;8
90002084;1715;"BELT TIMING BRETTING 02020022";"true";;"BRETTING";"02020022";"BRETTING";"NOT OEM";"TRUE";;2;1;;;;;;;10
90002115;1715;"BELT V TB WOODS B34 35.8 PL";"true";;"TB WOODS";"B34 35.8 PL";"TB WOODS";"NOT OEM";"FALSE";;4;2;;;;;;;28
90002203;1715;"BELT TIMING INFINITY 103-1068D 25MM";"true";;"INFINITY";"103-1068D";"INFINITY";"NOT OEM";"TRUE";0;0;1;;;;;;;8
90002204;1715;"BELT TIMING INFINITY 250-30HTD8M1328";"true";;"INFINITY";"250-30HTD8M1328";"INFINITY";"NOT OEM";"TRUE";;0;1;;;;;;;8
90002209;1715;"BELT TIMING INFINITY 531-3600-D";"true";;"INFINITY";"531-3600-D";"INFINITY";"NOT OEM";"TRUE";;0;1;;;;;;;8
90002458;1715;"KNIFE BRETTING 2964-25";"true";;"BRETTING";"2964-25";"BRETTING";"NOT OEM";"TRUE";;4;2;;;;;;;16
90002459;1715;"KNIFE BRETTING 2964-26";"true";;"BRETTING";"2964-26";"BRETTING";"NOT OEM";"TRUE";;4;2;;;;;;;16
90002982;1715;"STRIP WEAR BRETTING 454-355";"true";;"BRETTING";"454-355";"BRETTING";"NOT OEM";"TRUE";;2;1;;;;;;;10
90003350;1715;"MOTOR AC R&M MATERIALS 3000000515";"true";;"R&M MATERIALS";"3000000515";"R&M MATERIALS";"NOT OEM";"FALSE";;4;7;;;;;;;28
90003358;1715;"COUPLING RIGID R&M MATERIALS 3000000110";"true";;"R&M MATERIALS";"3000000110";"R&M MATERIALS";"NOT OEM";"FALSE";;4;6;;;;;;;28
90003373;1715;"CONTACTOR R&M MATERIALS 52296576";"true";;"R&M MATERIALS";"52296576";"R&M MATERIALS";"NOT OEM";"FALSE";;4;3;;;;;;;28
90003374;1715;"CONTACTOR R&M MATERIALS 52298182";"true";;"R&M MATERIALS";"52298182";"R&M MATERIALS";"NOT OEM";"FALSE";;4;3;;;;;;;28
90003375;1715;"CONVERTER R&M MATERIALS 60010145";"true";;"R&M MATERIALS";"60010145";"R&M MATERIALS";"NOT OEM";"FALSE";;4;3;;;;;;;28
90003376;1715;"DRV VARIABLE FREQ R&M MATERIALS 52487192";"true";;"R&M MATERIALS";"52487192";"R&M MATERIALS";"NOT OEM";"FALSE";;4;3;;;;;;;28
90003491;2771;"SPROCKET BALEMASTER 112A0001-03";"false";;"BALEMASTER";"112A0001-03";"BALEMASTER";"NOT OEM";"TRUE";;2;2;;;;;;;6
90003535;1715;"CHAIN MATTOP CONV REXNORD 10029046";"true";;"REXNORD";"10029046";"REXNORD";"NOT OEM";"FALSE";;2;3;;;;;;;26
90012014;1715;"COLLAR PCMC 30418742";"true";;"PCMC";"30418742";"PCMC";"NOT OEM";"TRUE";;;;;;;;;;8
90012018;1715;"BRG LINEAR BOSCH-REXROTH R1623-814-20";"true";;"BOSCH REXROTH";"R1623-814-20";"BOSCH REXROTH";"NOT OEM";"FALSE";;;;;;;;;;20
90012023;1715;"GUIDE BRETTING 4956-640";"true";;"BRETTING";"4956-640";"BRETTING";"NOT OEM";"TRUE";;;;;;;;;;8
90012024;1715;"GUIDE BRETTING 4956-641";"true";;"BRETTING";"4956-641";"BRETTING";"NOT OEM";"TRUE";;;;;;;;;;8
90012027;1715;"GUIDE E80 B358004630";"true";;;"B358004630";;;;;;;;;;;;;8
90012028;1715;"BRG BALL NSK 6008-DDU-NR";"true";;"NSK";"6008-DDU-NR";"NSK";"NOT OEM";"FALSE";;;;;;;;;;20
90012030;1715;"BRG LINEAR BOSCH-REXROTH R1622-294-20";"true";;"BOSCH REXROTH";"R1622-294-20";"BOSCH REXROTH";"NOT OEM";"FALSE";;;;;;;;;;20
90012041;1715;"GEARMOTOR AC SEW SA47DRS71M4";"true";;"SEW";"SA47DRS71M4";"SEW";"NOT OEM";"FALSE";;;;;;;;;;20
90012043;1715;"GEARBOX FESTO 552194";"true";;"FESTO";"552194";"FESTO";"NOT OEM";"FALSE";;;;;;;;;;20
90012044;1715;"LOCKING ASSEMBLY EDSON 32X60 RFM 7012";"true";;"EDSON";"RFM 7012";"EDSON";"NOT OEM";"TRUE";;;;;;;;;;8
90012045;1715;"BELT TIMING BRECOFLEX 50ATL10/3740";"true";;"BRECOFLEX";"50ATL10/3740";"BRECOFLEX";"NOT OEM";"FALSE";;;;;;;;;;20
90012047;1715;"RAIL LINERAR IGUS AWUM-20-660MM";"true";;"IGUS";"AWUM-20-660MM";"IGUS";"NOT OEM";"FALSE";;;;;;;;;;20
90012048;1715;"COUPLING FLEX MISUMI CPJC30-BL-10-12";"true";;"MISUMI";"CPJC30-BL-10-12";"MISUMI";"NOT OEM";"FALSE";;;;;;;;;;20
90012052;1715;"RAIL LIN BOSCH-REXROTH R160530431 440MM";"true";;"BOSCH REXROTH";"R160530431";"BOSCH REXROTH";"NOT OEM";"FALSE";;;;;;;;;;20
90012053;1715;"RAIL LIN BOSCH-REXROTH R160720431 444MM";"true";;"BOSCH REXROTH";"R160720431";"BOSCH REXROTH";"NOT OEM";"FALSE";;;;;;;;;;20
90012054;1715;"RAIL LIN BOSCH-REXROTH R160780431 280MM";"true";;"BOSCH REXROTH";"R160780431";"BOSCH REXROTH";"NOT OEM";"FALSE";;;;;;;;;;20
90012055;1715;"BRG LINEAR BOSCH-REXROTH R1623-294-20";"false";;"BOSCH REXROTH";"R1623-294-20";"BOSCH REXROTH";"NOT OEM";"FALSE";;;;;;;;;;12
90012056;1715;"BRG LINEAR BOSCH-REXROTH R1623-894-20";"true";;"BOSCH REXROTH";"R1623-894-20";"BOSCH REXROTH";"NOT OEM";"FALSE";;;;;;;;;;20
90012057;1715;"BRG LINEAR BOSCH-REXROTH R1651-314-20";"true";;"BOSCH REXROTH";"R1651-314-20";"BOSCH REXROTH";"NOT OEM";"FALSE";;;;;;;;;;20
90012058;1715;"GEARBOX CONE DRIVE S06040.SWSAB03DHLDK";"true";;;"S06040.SWSAB03DHLDK";;;;;;;;;;;;;8
90012063;1715;"CHAIN ENERGY IGUS Z14-3-075-0-976-2";"true";;"IGUS";"Z14-3-075-0-976-2";"IGUS";"NOT OEM";"FALSE";;;;;;;;;;20
90012065;1715;"SPACER PCMC 30403308";"true";;"PCMC";"30403308";"PCMC";"NOT OEM";"TRUE";;;;;;;;;;8
90012066;1715;"MAGNET PCMC 30626727";"true";;"PCMC";"30626727";"PCMC";"NOT OEM";"TRUE";;;;;;;;;;8
90014290;1715;"BELT TIMING INFINITY 531-1128A";"true";"GRP-PD-39";"INFINITY";"531-1128A";"INFINITY";"NOT OEM";"TRUE";;;;;;;;;;8
90014303;1715;"BELT TIMING INFINITY 531-4016A";"true";;"INFINITY";"531-4016A";"INFINITY";"NOT OEM";"TRUE";;;;;;;;;;8
90014327;1715;"BRACKET E80 B358004636";"true";;;"B358004636";;;;;;;;;;;;;8
90014328;1715;"RUBBER BUMPER E80 B423400003A";"true";;;"B423400003A";;;;;;;;;;;;;8
90014329;1715;"BRG LINEAR E80 B4257282000";"true";;;"B4257282000";;;;;;;;;;;;;8
90014330;1715;"GEARMOTOR AC E80 R00300697";"true";;;"R00300697";;;;;;;;;;;;;8
90014331;1715;"GEARMOTOR AC E80 R00300707";"true";;;"R00300707";;;;;;;;;;;;;8
90014332;1715;"GEARMOTOR AC E80 R00300929";"true";;;"R00300929";;;;;;;;;;;;;8
90014340;1715;"HANDLE ADJUSTABLE BLACK EDSON E1000467";"false";;"EDSON";"E1000467";"EDSON";"NOT OEM";"TRUE";;;;;;;;;;0
90014346;1715;"PULLEY TIMING EDSON LS70AT10/32-2";"true";"GRP-PD-88";"EDSON";"LS70AT10/32-2";"EDSON";"NOT OEM";"TRUE";;;;;;;;;;8
90014348;1715;"BRACKET IGUS 114-3-12PZ";"true";;"IGUS";"114-3-12PZ";"IGUS";"NOT OEM";"FALSE";;;;;;;;;;20
90014362;1715;"BELT TIMING INFINITY 190-5204B";"true";;"INFINITY";"190-5204B";"INFINITY";"NOT OEM";"TRUE";;;;;;;;;;8
90014363;1715;"BELT FLAT INFINITY 190-6399A";"false";;"INFINITY";"190-6399A";"INFINITY";"NOT OEM";"TRUE";;;;;;;;;;0
90014385;1715;"BELT FLAT INFINITY 196-2823";"true";;"INFINITY";"196-2823";"INFINITY";"NOT OEM";"TRUE";;;;;;;;;;8
90014418;1715;"FINGER BASE FLIPPER BRETTING 108-114";"true";;"BRETTING";"108-114";"BRETTING";"NOT OEM";"TRUE";;;;;;;;;;8
90014419;1715;"FINGER TOP FLIPPER BRETTING 108-115";"true";;"BRETTING";"108-115";"BRETTING";"NOT OEM";"TRUE";;;;;;;;;;8
90014420;1715;"FINGER BASE FLIPPER END BRETTING 108-117";"true";;"BRETTING";"108-117";"BRETTING";"NOT OEM";"TRUE";;;;;;;;;;8
90014421;1715;"FINGER TIP FLIPPER BRETTING 108-119";"true";;"BRETTING";"108-119";"BRETTING";"NOT OEM";"TRUE";;;;;;;;;;8
90014422;1715;"RUBBER BUMPER BRETTING 29000008";"true";;"BRETTING";"29000008";"BRETTING";"NOT OEM";"TRUE";;;;;;;;;;8
90014423;1715;"ADAPTOR LUBE FITTING BRETTING 34000089";"true";;"BRETTING";"34000089";"BRETTING";"NOT OEM";"TRUE";;;;;;;;;;8
90014424;1715;"TENSION ADJUST BLOCK BRETTING 3975-296";"true";;"BRETTING";"3975-296";"BRETTING";"NOT OEM";"TRUE";;;;;;;;;;8
90014425;1715;"SEAL ALIGNMENT KEY BRETTING 4643-181";"true";;"BRETTING";"4643-181";"BRETTING";"NOT OEM";"TRUE";;;;;;;;;;8
90014426;1715;"BRACKET MOUNTING 4 DEGREE E80 B358004631";"true";;;"B358004631";;;;;;;;;;;;;8
90014485;1715;"EXTENSION HINGE PCMC 30346333";"true";;"PCMC";"30346333";"PCMC";"NOT OEM";"TRUE";;;;;;;;;;8
90014486;1715;"ROD HINGE FEMALE PCMC 30415013";"true";;"PCMC";"30415013";"PCMC";"NOT OEM";"TRUE";;;;;;;;;;8
90014487;1715;"ROD HINGE MALE PCMC 30415015";"true";;"PCMC";"30415015";"PCMC";"NOT OEM";"TRUE";;;;;;;;;;8
90014488;1715;"ROD GUIDE PCMC 30415954";"true";;"PCMC";"30415954";"PCMC";"NOT OEM";"TRUE";;;;;;;;;;8
90014489;1715;"ROD SPRING PCMC 30415955";"true";;"PCMC";"30415955";"PCMC";"NOT OEM";"TRUE";;;;;;;;;;8
90014490;1715;"PLASTIC COUPLING PCMC 30445995";"true";;"PCMC";"30445995";"PCMC";"NOT OEM";"TRUE";;;;;;;;;;8
90014491;1715;"MOTOR SERVO PCMC 30488911";"true";;"PCMC";"30488911";"PCMC";"NOT OEM";"TRUE";;;;;;;;;;8
90014492;1715;"PUSHER LOG PLATE PCMC 30503125";"true";;"PCMC";"30503125";"PCMC";"NOT OEM";"TRUE";;;;;;;;;;8
90014543;1715;"CYLINDER PNEUMATIC  INFINITY 630-1084";"false";;"INFINITY";"630-1084";"INFINITY";"NOT OEM";"TRUE";;;;;;;;;;0
90014601;1715;"PISTON AL HP20-220 PCMC 131149.120.0";"true";;"PCMC";"131149.120.0";"PCMC";"NOT OEM";"TRUE";;;;;;;;;;8
90014602;1715;"PUSHER LOG PLATE PCMC 30503124";"true";;"PCMC";"30503124";"PCMC";"NOT OEM";"TRUE";;;;;;;;;;8
90014603;1715;"FINGER HOLD DOWN PCMC 440000.254.0";"true";;"PCMC";"440000.254.0";"PCMC";"NOT OEM";"TRUE";;;;;;;;;;8
90014605;1715;"TOOTH FALSE PCMC 445000.299.0";"true";;"PCMC";"445000.299.0";"PCMC";"NOT OEM";"TRUE";;;;;;;;;;8
90014606;1715;"SCREW SHOULDER 10MM PCMC 940069.037.0";"true";;"PCMC";"940069.037.0";"PCMC";"NOT OEM";"TRUE";;;;;;;;;;8
90014608;1715;"CONTACTOR R&M 52296645";"true";;"R&M MATERIALS";"52296645";"R&M MATERIALS";"NOT OEM";"FALSE";;;;;;;;;;20
90014609;1715;"DRIVE VARIABLE FREQ R&M 53699875";"true";;"R&M MATERIALS";"53699875";"R&M MATERIALS";"NOT OEM";"FALSE";;;;;;;;;;20
90014745;1715;"STRIP WEAR PLYBOND WHEEL PCMC 30534547";"true";;"PCMC";"30534547";"PCMC";"NOT OEM";"TRUE";;;;;;;;;;8
90002664;1715;"GUIDE BRETTING 3761-238";"true";;"BRETTING";"3761-238";"BRETTING";"NOT OEM";"TRUE";;2;1;;;;;;;10
90002665;1715;"GUIDE BRETTING 3761-239";"true";;"BRETTING";"3761-239";"BRETTING";"NOT OEM";"TRUE";;2;1;;;;;;;10
90002667;1715;"GUIDE BRETTING 3761-241";"true";;"BRETTING";"3761-241";"BRETTING";"NOT OEM";"TRUE";;2;1;;;;;;;10
90002668;1715;"GUIDE BRETTING 400-714";"true";;"BRETTING";"400-714";"BRETTING";"NOT OEM";"TRUE";;2;2;;;;;;;14
90002669;1715;"GUIDE BRETTING 400-715";"true";;"BRETTING";"400-715";"BRETTING";"NOT OEM";"TRUE";;2;2;;;;;;;14
90002885;1715;"ROD TIE ROD BRETTING 6943-101";"true";;"BRETTING";"6943-101";"BRETTING";"NOT OEM";"TRUE";;2;2;;;;;;;14
90002886;1715;"ROD TIE ROD BRETTING 6943-102";"true";;"BRETTING";"6943-102";"BRETTING";"NOT OEM";"TRUE";;2;2;;;;;;;14
90002966;1715;"RING RETAINING BRETTING 47000003 1.25IN";"true";;"BRETTING";"47000003";"BRETTING";"NOT OEM";"TRUE";0;2;1;;;;;;;10
90000216;1715;"COVER ELECTRICAL PCMC 30321540";"true";;"PCMC";"30321540";"PCMC";"NOT OEM";"TRUE";;2;1;;;;;;;10
90001565;1715;"SEAL OIL PCMC 30115589 24MM 16MM 5MM";"true";;"PCMC";"30115589";"PCMC";"NOT OEM";"TRUE";0;2;2;;;;;;;14
90000131;1715;"BUSHING PCMC 72286 14MM SLEEVE-FLANGED";"true";;"PCMC";"72286";"PCMC";"NOT OEM";"TRUE";0;4;1;;;;;;;12
90002968;1715;"RING RETAINING BRETTING 47000215 1.75IN";"true";;"BRETTING";"47000215";"BRETTING";"NOT OEM";"TRUE";0;4;4;;;;;;;16
90002065;1715;"BELT FLAT BRETTING 02000962 216IN 1.75IN";"true";;"BRETTING";"02000962";"BRETTING";"NOT OEM";"TRUE";0;2;1;;;;;;;10
90001049;1715;"BEARING BALL INFINITY 511-0205A 10MM 8MM";"true";"GRP-PD-37";"INFINITY";"511-0205A";"INFINITY";"NOT OEM";"TRUE";0;0;4;;;;;;;12
90000396;1715;"PUSHBUTTON PCMC 30058056 60MM";"true";;"PCMC";"30058056";"PCMC";"NOT OEM";"TRUE";0;2;3;;;;;;;14
90000437;1715;"SEAL OIL PCMC 131093.830.0 40MM";"true";;"PCMC";"131093.830.0";"PCMC";"NOT OEM";"TRUE";0;4;2;;;;;;;16
90002674;1715;"GUIDE BRETTING 4048-2464";"true";;"BRETTING";"4048-2464";"BRETTING";"NOT OEM";"TRUE";;4;2;;;;;;;16
90001083;1715;"BEARING BUSHING PCMC 30171435 25MM";"true";;"PCMC";"30171435";"PCMC";"NOT OEM";"TRUE";0;2;2;;;;;;;14
90000431;1715;"SEAL OIL PCMC 122401 47MM 7MM 32 MM SFT";"true";;"PCMC";"122401";"PCMC";"NOT OEM";"TRUE";0;2;2;;;;;;;14
90001075;1715;"BEARING BALL PCMC 990304.069.0 20MM 47MM";"true";;"PCMC";"990304.069.0";"PCMC";"NOT OEM";"TRUE";0;2;2;;;;;;;14
90000032;1715;"BEARING BALL PCMC 30507700 20MM 52MM";"true";;"PCMC";"30507700";"PCMC";"NOT OEM";"TRUE";0;4;2;;;;;;;16
90001085;1715;"BEARING BUSHING PCMC 30637954 1IN 1IN";"true";;"PCMC";"30637954";"PCMC";"NOT OEM";"TRUE";0;2;2;;;;;;;14
90000305;1715;"KIT LENS COVER PCMC 30486425";"true";;"PCMC";"30486425";"PCMC";"NOT OEM";"TRUE";;4;2;;;;;;;16
90000429;1715;"RUBBER PCMC 30702701 4.25IN 0.50IN";"true";;"PCMC";"30702701";"PCMC";"NOT OEM";"TRUE";0;4;2;;;;;;;16
90000287;1715;"KIT BOOT PCMC 30140180 HYDR BOOSTER";"true";;"PCMC";"30140180";"PCMC";"NOT OEM";"TRUE";;4;3;;;;;;;16
90000129;1715;"BUSHING PCMC 30511258 34MM 30MM 30MM";"true";;"PCMC";"30511258";"PCMC";"NOT OEM";"TRUE";0;4;2;;;;;;;16
90000014;1715;"BEARING BALL PCMC 160005.007.2 35MM 72MM";"true";;"PCMC";"160005.007.2";"PCMC";"NOT OEM";"TRUE";0;4;4;;;;;;;16
90000008;1715;"BEARING BALL INFINITY 511-0323 25MM 52MM";"true";"GRP-PD-42";"INFINITY";"511-0323";"INFINITY";"NOT OEM";"TRUE";0;4;6;;;;;;;16
90000081;1715;"BEARING SPHERICAL PCMC 30510835 15MM";"true";;"PCMC";"30510835";"PCMC";"NOT OEM";"TRUE";0;4;2;;;;;;;16
90001716;1715;"SPROCKET INFINITY 540-0107 1IN 24T";"true";;"INFINITY";"540-0107";"INFINITY";"NOT OEM";"TRUE";1;0;6;;;;;;;4
90001717;1715;"SPROCKET INFINITY 540-0123 1IN 10T KW/SS";"true";"GRP-ED-216";"INFINITY";"540-0123";"INFINITY";"NOT OEM";"TRUE";1;2;4;;;;;;;6
90000241;1715;"FILTER CARTRIDGE PCMC 116486 5 MICRON";"true";;"PCMC";"116486";"PCMC";"NOT OEM";"TRUE";;4;11;;;;;;;16
90001559;1715;"SEAL OIL PCMC 131093.813.0 62MM 40MM 8MM";"true";;"PCMC";"131093.813.0";"PCMC";"NOT OEM";"TRUE";0;0;2;;;;;;;12
90002673;1715;"GUIDE BRETTING 4048-2457";"true";;"BRETTING";"4048-2457";"BRETTING";"NOT OEM";"TRUE";;4;2;;;;;;;16
90001845;1715;"BEARING BALL SKF 6206-2RS1 1.1811IN";"true";;"SKF";"6206-2RS1";"SKF";"NOT OEM";"FALSE";0;2;2;;;;;;;26
90000033;1715;"BEARING BALL PCMC 30516490 30MM 72MM";"true";;"PCMC";"30516490";"PCMC";"NOT OEM";"TRUE";0;4;4;;;;;;;16
90000079;1715;"BEARING ROLLER PCMC 37782 20MM 26MM NDL";"true";;"PCMC";"37782";"PCMC";"NOT OEM";"TRUE";0;2;4;;;;;;;14
90000213;1715;"COUPLING FLEX PCMC 30566941 44IN 11MM";"true";;"PCMC";"30566941";"PCMC";"NOT OEM";"TRUE";0;4;1;;;;;;;12
90002024;1715;"BEARING ROLLER EDSON E1000474";"true";;"EDSON";"E1000474";"EDSON";"NOT OEM";"TRUE";;;;;;;;;;8
90000130;1715;"BUSHING PCMC 30542583 39MM 2MM 7MM 35MM";"true";;"PCMC";"30542583";"PCMC";"NOT OEM";"TRUE";0;4;1;;;;;;;12
90002655;1715;"GUIDE BRETTING 2813-255";"true";;"BRETTING";"2813-255";"BRETTING";"NOT OEM";"TRUE";;2;4;;;;;;;14
90000180;1715;"BELT PCMC 113187 FLAT 1649MM .7MM 14MM";"true";;"PCMC";"113187";"PCMC";"NOT OEM";"TRUE";1;2;2;;;;;;;6
90000015;1715;"BEARING BALL PCMC 160005.008.2 40MM 80MM";"true";;"PCMC";"160005.008.2";"PCMC";"NOT OEM";"TRUE";0;2;2;;;;;;;14
90001718;1715;"SPROCKET INFINITY 540-0134 24T 30MM";"true";;"INFINITY";"540-0134";"INFINITY";"NOT OEM";"TRUE";1;;;;;;;;;0
90000434;1715;"SEAL OIL PCMC 131093.812.0 100MM";"true";;"PCMC";"131093.812.0";"PCMC";"NOT OEM";"TRUE";0;4;2;;;;;;;16
90000435;1715;"SEAL OIL PCMC 131093.819.0";"true";;"PCMC";"131093.819.0";"PCMC";"NOT OEM";"TRUE";;4;2;;;;;;;16
90000096;1715;"BELT TIMING PCMC 131678.519.0 8MM 20MM";"true";;"PCMC";"131678.519.0";"PCMC";"NOT OEM";"TRUE";0;4;12;;;;;;;16
90001179;1715;"BELT TIMING INFINITY 531-0720 720-8MGT20";"true";;"INFINITY";"531-0720";"INFINITY";"NOT OEM";"TRUE";;0;3;;;;;;;12
90001360;1715;"FILTER CARTRIDGE PCMC 152748.103.0";"true";;"PCMC";"152748.103.0";"PCMC";"NOT OEM";"TRUE";;0;1;;;;;;;8
90001806;1715;"STRIP WEAR PCMC 30555610";"true";;"PCMC";"30555610";"PCMC";"NOT OEM";"TRUE";;0;2;;;;;;;12
90001807;1715;"STRIP WEAR PCMC 30596410";"true";;"PCMC";"30596410";"PCMC";"NOT OEM";"TRUE";;0;2;;;;;;;12
90000436;1715;"SEAL OIL PCMC 131093.820.0 110MM";"true";;"PCMC";"131093.820.0";"PCMC";"NOT OEM";"TRUE";0;2;2;;;;;;;14
