"Material";"Plant";"Material Description";"HasStock";"DUPLICATE_REFERENCE";"MANUFACTURER/VENDOR";"PART_NUMBER";"M";"Utopia_OEMFlag";"Z011_NotOEM";"count(Characteristic Value)";"maximum(Criticality)";"count(BOM Usg)";"CLASS";"MFRPN";"MFRNR";"Class1";"Class2";"Fournisseur";"Priority"
90001913;1715;"BEARING LINEAR EDSON E1003357";"false";;"EDSON";"E1003357";"EDSON";"NOT OEM";"TRUE";;2;1;;;;;;;2
90002961;1715;"RELAY SAFETY ALLEN BRADLEY 700S-CF620EJC";"false";;"ROCKWELL AUTOMATION";"700S-CF620EJC";"ALLEN-BRADLEY";"OEM";"FALSE";2;;;;;;;;;4
90002252;1715;"CONTACT ELECTRICAL EDSON LC1D40ABD 40A";"true";;"EDSON";"LC1D40ABD";"EDSON";"NOT OEM";"TRUE";0;;;;;;;;;8
90002438;1715;"HOUSING BEARING BRETTING 4053-138";"false";;"BRETTING";"4053-138";"BRETTING";"NOT OEM";"TRUE";;4;2;;;;;;;8
90002369;1715;"FUSE BUSSMANN LPJ-400SP 400A TIME DELAY";"false";;"BUSSMANN";"LPJ-400SP";"BUSSMANN";"NOT OEM";"FALSE";2;;;;;;;;;4
90001441;1715;"HORN ELECTRIC PCMC 37676 0.25A 104dB 24V";"false";;"PCMC";"37676";"PCMC";"NOT OEM";"TRUE";0;2;1;;;;;;;2
90000119;1715;"BRACKET PCMC 30505055";"false";;"PCMC";"30505055";"PCMC";"NOT OEM";"TRUE";;0;2;;;;;;;4
90001211;1715;"BLADE PERFO PCMC 30091285.010 3300MM 1MM";"true";;"PCMC";"30091285.010";"PCMC";"NOT OEM";"TRUE";0;2;1;;;;;;;10
90002400;1715;"CYLINDER PNEUMATIC BRETTING 36110207";"false";;"BRETTING";"36110207";"BRETTING";"NOT OEM";"TRUE";0;2;2;;;;;;;6
90001213;1715;"BLADE SAW PCMC 344200.002.0 24IN";"true";;"PCMC";"344200.002.0";"PCMC";"NOT OEM";"TRUE";0;0;2;;;;;;;12
90002693;1715;"SENSOR EDSON 440N-Z21SS2HN";"true";;"EDSON";"440N-Z21SS2HN";"EDSON";"NOT OEM";"TRUE";;2;1;;;;;;;10
90003054;1715;"VALVE PRESS REDUCING BRETTING 42000941";"false";;"BRETTING";"42000941";"BRETTING";"NOT OEM";"TRUE";1;;;;;;;;;-8
90002368;1715;"FUSE BUSSMANN LPJ-250SP 250A TIME DELAY";"false";;"BUSSMANN";"LPJ-250SP";"BUSSMANN";"NOT OEM";"FALSE";2;;;;;;;;;4
90003027;1715;"SWITCH PRESSURE EFECTOR INC PK6220";"false";;"EFECTOR";"PK6220";"EFECTOR";"NOT OEM";"FALSE";1;;;;;;;;;4
90001825;1715;"WHEEL GRINDING PCMC 30067217.001 6IN";"true";;"PCMC";"30067217.001";"PCMC";"NOT OEM";"TRUE";1;2;2;;;;;;;6
90001919;1715;"BEARING LINEAR THK AMERICA INC SHS45C1SS";"false";;"THK";"SHS45C1SS";"THK";"NOT OEM";"FALSE";;2;1;;;;;;;14
90000147;1715;"CABLE ELECTRICAL PCMC 30465296";"false";;"PCMC";"30465296";"PCMC";"NOT OEM";"TRUE";;2;3;;;;;;;6
90000204;1715;"CONTACT ELECTRICAL PCMC 38749";"true";;"PCMC";"38749";"PCMC";"NOT OEM";"TRUE";;2;2;;;;;;;14
90002696;1715;"SENSOR PHOTOELEC BANNER QS18VP6LLPQ8";"true";;"BANNER ENGINEERING";"QS18VP6LLPQ8";"BANNER ENGINEERING";"NOT OEM";"FALSE";0;;;;;;;;;20
90002751;1715;"RAIL LINEAR EDSON E1001166";"false";;"EDSON";"E1001166";"EDSON";"NOT OEM";"TRUE";;2;2;;;;;;;6
90000181;1715;"BELT PCMC 134791.150.0 150IN 0.05IN 3IN";"false";;"PCMC";"134791.150.0";"PCMC";"NOT OEM";"TRUE";1;4;1;;;;;;;-4
90002985;1715;"STRIP WEAR BRETTING 4926-281";"false";;"BRETTING";"4926-281";"BRETTING";"NOT OEM";"TRUE";;2;1;;;;;;;2
90001973;1715;"ARM LINK BRETTING 5560-150";"false";;"BRETTING";"5560-150";"BRETTING";"NOT OEM";"TRUE";;2;1;;;;;;;2
90003035;1715;"TRANSFORMER HEVI-DUTY HS1F1.5AS 60HZ 1PH";"false";;"SOLA";"HS1F1.5AS";"SOLA";"NOT OEM";"FALSE";0;;;;;;;;;12
90003024;1715;"SWITCH PRESSURE BRETTING 11000005 150PSI";"false";;"BRETTING";"11000005";"BRETTING";"NOT OEM";"TRUE";1;;;;;;;;;-8
90003011;1715;"SWITCH LIMIT EAS 0800157";"false";;;"EAS 0800157";;;;;;;;;;;;;0
90002006;1715;"BEARING PILLOW BLOCK BRETTING 3663-6";"false";;"BRETTING";"3663-6";"BRETTING";"NOT OEM";"TRUE";;2;1;;;;;;;2
90002318;1715;"CYLINDER PNEUMATIC EDSON E1001058 50MM";"false";;"EDSON";"E1001058";"EDSON";"NOT OEM";"TRUE";0;2;1;;;;;;;2
90000171;1715;"CIRCUIT BREAKER PCMC 127948 ADJ THERMAL";"true";;"PCMC";"127948";"PCMC";"NOT OEM";"TRUE";1;2;2;;;;;;;6
90003065;1715;"VALVE SOLENOID NUMATICS 353BB53AMN56Y61";"false";;"NUMATICS";"353BB53AMN56Y61";"NUMATICS";"NOT OEM";"FALSE";1;2;2;;;;;;;10
90002379;1715;"COUPLING RIGID ZERO MAX SC-060 74MM 68MM";"false";;"RIGID ZERO MAX";"SC-060";"RIGID ZERO MAX";"NOT OEM";"FALSE";0;2;1;;;;;;;14
90002789;1715;"POWER SUPPLY ELECTRICAL EDSON 1469480000";"false";;"EDSON";"1469480000";"EDSON";"NOT OEM";"TRUE";0;;;;;;;;;0
90003068;1715;"VALVE SOLENOID NUMATICS S32C-06BKLM 24V";"false";;"NUMATICS";"S32C-06BKLM";"NUMATICS";"NOT OEM";"FALSE";0;;;;;;;;;12
90002714;1715;"SENSOR PROXIMITY BRETTING 16000577 10V";"false";;"BRETTING";"16000577";"BRETTING";"NOT OEM";"TRUE";1;2;2;;;;;;;-2
90001268;1715;"CABLE ELECTRICAL PCMC 30295084 9000MM";"false";;"PCMC";"30295084";"PCMC";"NOT OEM";"TRUE";0;2;1;;;;;;;2
90001863;1715;"BEARING FLANGED BRETTING 01020280 4 BOLT";"false";;"BRETTING";"01020280";"BRETTING";"NOT OEM";"TRUE";1;2;1;;;;;;;-6
90001574;1715;"SENSOR PROXIMITY PCMC 130761.182.0";"true";;"PCMC";"130761.182.0";"PCMC";"NOT OEM";"TRUE";;2;1;;;;;;;10
90002426;1715;"GEAR RACK EDSON E1000464 400MM MODULE 2";"false";;"EDSON";"E1000464";"EDSON";"NOT OEM";"TRUE";0;2;1;;;;;;;2
90001789;1715;"RELAY CONTROL PCMC 30341482";"true";;"PCMC";"30341482";"PCMC";"NOT OEM";"TRUE";;2;1;;;;;;;10
90000199;1715;"CONTACT ELECTRICAL PCMC 30460656 37A 24V";"false";;"PCMC";"30460656";"PCMC";"NOT OEM";"TRUE";1;4;14;;;;;;;0
90001938;1715;"FILTER ELECTRONIC BRETTING 17060181";"false";;"BRETTING";"17060181";"BRETTING";"NOT OEM";"TRUE";;;;;;;;;;0
90002718;1715;"SENSOR PROXIMITY TURCK BI5-M18-LIU 30V";"false";;"TURCK";"BI5-M18-LIU";"TURCK";"NOT OEM";"FALSE";1;2;1;;;;;;;6
90002574;1715;"MODULE ELECTRONIC AB 1734-IB8 24V";"false";"GRP-PD-60";"ROCKWELL AUTOMATION";"1734-IB8";"ALLEN-BRADLEY";"OEM";"FALSE";2;;;;;;;;;4
90000193;1715;"CONNECTOR RING PCMC 30533276";"false";;"PCMC";"30533276";"PCMC";"NOT OEM";"TRUE";;2;2;;;;;;;6
90000115;1715;"BLADE PERFO PCMC 30091285.065 3300MM";"true";;"PCMC";"30091285.065";"PCMC";"NOT OEM";"TRUE";0;2;2;;;;;;;14
90002256;1715;"CONTACTOR ALLEN BRADLEY 100S-C16EJ14BC";"false";;"ROCKWELL AUTOMATION";"100S-C16EJ14BC";"ALLEN-BRADLEY";"OEM";"FALSE";2;;;;;;;;;4
90003053;1715;"VALVE CONTROL PARKER FM2DDDKN SANDWICH";"false";;"PARKER";"FM2DDDKN";"PARKER";"NOT OEM";"FALSE";1;;;;;;;;;4
90001813;1715;"VALVE CONTROL PCMC 108454";"false";;"PCMC";"108454";"PCMC";"NOT OEM";"TRUE";;0;1;;;;;;;0
90000314;1715;"KIT REPAIR PCMC 30140194 CMPL DIA CANIST";"false";;"PCMC";"30140194";"PCMC";"NOT OEM";"TRUE";;4;3;;;;;;;8
90000356;1715;"MOTOR AC PCMC 30650786 60HZ 0.37KW";"false";;"PCMC";"30650786";"PCMC";"NOT OEM";"TRUE";0;4;2;;;;;;;8
90000056;1715;"BEARING LINEAR PCMC 74659";"false";;"PCMC";"74659";"PCMC";"NOT OEM";"TRUE";;4;1;;;;;;;4
90001857;1715;"BEARING CAM FOLLOWER MCGILL CF-3137";"false";;"MCGILL";"CF-3137";"MCGILL";"NOT OEM";"FALSE";0;4;3;;;;;;;20
90000350;1715;"MODULE ELECTRONIC PCMC 66583 0-10 VDC";"false";;"PCMC";"66583";"PCMC";"NOT OEM";"TRUE";2;2;6;;;;;;;-2
90002987;1715;"STRIP WEAR BRETTING 4926-57";"false";;"BRETTING";"4926-57";"BRETTING";"NOT OEM";"TRUE";;2;1;;;;;;;2
90002562;1715;"MODULE ELECTRONIC AB 1734-IE2V";"false";;"ROCKWELL AUTOMATION";"1734-IE2V";"ALLEN-BRADLEY";"OEM";"FALSE";;;;;;;;;;12
90000448;1715;"SENSOR PHOTOELECTRICAL PCMC 30534333";"true";;"PCMC";"30534333";"PCMC";"NOT OEM";"TRUE";;2;2;;;;;;;14
90003059;1715;"VALVE SOLENOID ASCO EF8210G3-24VDC 24V";"false";;"ASCO";"EF8210G3-24VDC";"ASCO";"NOT OEM";"FALSE";0;;;;;;;;;12
90001266;1715;"CABLE ELECTRICAL PCMC 30294954 FEEDBACK";"false";;"PCMC";"30294954";"PCMC";"NOT OEM";"TRUE";1;2;1;;;;;;;-6
90000418;1715;"REGULATOR PCMC 976700.377.0 0.05-4 BAR";"false";;"PCMC";"976700.377.0";"PCMC";"NOT OEM";"TRUE";2;2;2;;;;;;;-2
90001480;1715;"MODULE ELECTRONIC PCMC 47342 0.02A 2 CH";"true";;"PCMC";"47342";"PCMC";"NOT OEM";"TRUE";2;2;5;;;;;;;6
90000471;1715;"SOFTWARE COMPUTER PCMC 30484383";"false";;"PCMC";"30484383";"PCMC";"NOT OEM";"TRUE";;2;2;;;;;;;6
90001939;1715;"SEAL CAM RING BRETTING 4044-320";"false";;"BRETTING";"4044-320";"BRETTING";"NOT OEM";"TRUE";;4;1;;;;;;;4
90001940;1715;"SEAL CAM RING BRETTING 4044-321";"false";;"BRETTING";"4044-321";"BRETTING";"NOT OEM";"TRUE";;4;1;;;;;;;4
90002580;1715;"MODULE ELECTRONIC AB 2090-K6CK-D44S0";"false";;"ROCKWELL AUTOMATION";"2090-K6CK-D44S0";"ALLEN-BRADLEY";"OEM";"FALSE";;;;;;;;;;12
90003013;1715;"SWITCH LIMIT EDSON 802T-AP SPRING";"true";;"EDSON";"802T-AP";"EDSON";"NOT OEM";"TRUE";1;;;;;;;;;0
