Material Type,Material Group,Material,Description,Base Unit,BatchManagement,Configurable,Mfr Part Number,Manufacturer,Material locked,Division,Supply source,W/ empties BOM
ZER2,U26111804,90000086,BELT INFINITY 101-7019E 97IN 6IN,EA,,,,,,,,
ZER2,U26111802,90000087,BELT INFINITY 250-30HTD8M1584,EA,,,,,,,,
ZER2,U26111803,90000088,BELT INFINITY 553-0013 CLEAR,EA,,,,,,,,
ZER2,U26111804,90000089,BELT PCMC 110174,EA,,,,,,,,
ZER2,U26111802,90000090,BELT TIMING PCMC 131678.019.0 14MM,EA,,,,,,,,
ZER2,U26111802,90000091,BELT TIMING PCMC 131678.023.0 14MM,EA,,,,,,,,
ZER2,U26111802,90000092,BELT TIMING PCMC 131678.025.0 14MM,EA,,,,,,,,
ZER2,U26111802,90000093,BELT TIMING PCMC 131678.512.0 8MM 30MM,EA,,,,,,,,
ZER2,U26111802,90000094,BELT TIMING PCMC 131678.514.0 8MM,EA,,,,,,,,
ZER2,U26111802,90000095,BELT TIMING PCMC 131678.516.0 8MM 30MM,EA,,,,,,,,
ZER2,U26111802,90000096,BELT TIMING PCMC 131678.519.0 8MM 20MM,EA,,,,,,,,
ZER2,U26111802,90000097,BELT TIMING PCMC 131678.520.0 8MM 30MM,EA,,,,,,,,
ZER2,U26111802,90000098,BELT TIMING PCMC 131678.521.0 8MM,EA,,,,,,,,
ZER2,U26111802,90000099,BELT TIMING PCMC 131678.530.0 8MM 30MM,EA,,,,,,,,
ZER2,U26111802,90000100,BELT TIMING PCMC 131678.537.0 8MM,EA,,,,,,,,
ZER2,U26111802,90000101,BELT TIMING PCMC 131678.540.0 8MM 800 PL,EA,,,,,,,,
ZER2,U26111802,90000102,BELT TIMING PCMC 132908.039.0 8MM 20MM,EA,,,,,,,,
ZER2,U26111802,90000103,LT TIMING PCMC 132908.062.0 8MM 20MM,EA,,,,,,,,
ZER2,U26111802,90000104,BELT TIMING PCMC 152016.003.0 14MM,EA,,,,,,,,
ZER2,U26111802,90000105,BELT TIMING PCMC 153250.215.0 8MM 20MM,EA,,,,,,,,
ZER2,U26111802,90000106,BELT TIMING PCMC 153250.246.0 8MM 50MM,EA,,,,,,,,
ZER2,U26111802,90000107,BELT TIMING PCMC 153250.420.0 14MM 55MM,EA,,,,,,,,
ZER2,U26111802,90000108,BELT TIMING PCMC 153845.504.0 14MM,EA,,,,,,,,
ZER2,U26111802,90000109,BELT TIMING PCMC 30641605 8MM 62MM,EA,,,,,,,,
ZER2,U26111802,90000110,BELT TIMING PCMC 32105 14MM 994 PL,EA,,,,,,,,
ZER2,U22101703,90000111,BLADE ANVIL PCMC 30088314.330 3300MM,EA,,,,,,,,
ZER2,U22101703,90000112,BLADE ANVIL PCMC 30478064.330 3300MM,EA,,,,,,,,
ZER2,U22101703,90000113,BLADE PERFO PCMC 30091285.063 3300MM,EA,,,,,,,,
ZER2,U22101703,90000114,BLADE PERFO PCMC 30091285.064 3300MM,EA,,,,,,,,
ZER2,U22101703,90000115,BLADE PERFO PCMC 30091285.065 3300MM,EA,,,,,,,,
ZER2,U40101601,90000116,BLOWER VACUUM PCMC 153019.001.0,EA,,,,,,,,
ZER2,U31162500,90000117,BRACKET PCMC 123817 80MM SWVL EYE BRKT,EA,,,,,,,,
ZER2,U31162500,90000118,BRACKET PCMC 30003378 80MM CLEVIS BRKT,EA,,,,,,,,
ZER2,U31162500,90000119,BRACKET PCMC 30505055,EA,,,,,,,,
ZER2,U27113000,90000120,BRUSH PCMC 30543794,EA,,,,,,,,
ZER2,U24112000,90000121,BUCKET PCMC 30741450,EA,,,,,,,,
ZER2,U39121021,90000122,BUSBAR ELECTRICAL PCMC 101003 180A,EA,,,,,,,,
ZER2,U39121021,90000123,BUSBAR ELECTRICAL PCMC 101017 400A,EA,,,,,,,,
ZER2,U31171603,90000124,BUSHING INFINITY 510-0632C 0.5IN 0.50IN,EA,,,,,,,,
ZER2,U31171603,90000125,BUSHING INFINITY 510-0633A 0.63IN 0.63IN,EA,,,,,,,,
ZER2,U31171603,90000126,BUSHING INFINITY 510-3000 1.0IN 1.00IN,EA,,,,,,,,
ZER2,U31171603,90000127,BUSHING PCMC 100448 25MM,EA,,,,,,,,
ZER2,U31171603,90000128,BUSHING PCMC 152806.063.0 40MM SFM,EA,,,,,,,,
ZER2,U31171603,90000129,BUSHING PCMC 30511258 34MM 30MM 30MM,EA,,,,,,,,
ZER2,U31171603,90000130,BUSHING PCMC 30542583 39MM 2MM 7MM 35MM,EA,,,,,,,,
ZER2,U31171603,90000131,BUSHING PCMC 72286 14MM SLEEVE-FLANGED,EA,,,,,,,,
ZER2,U31171603,90000132,BUSHING PCMC 78088,EA,,,,,,,,
ZER2,U26121629,90000133,CABLE ELECTRICAL PCMC 116059 120IN,EA,,,,,,,,
ZER2,U26121629,90000134,CABLE ELECTRICAL PCMC 30159214 30MM,EA,,,,,,,,
