Colonne3,Class Type,Internal class no.,Colonne1,Colonne2,Item Number
90001888,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90001889,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90001890,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90001891,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90001892,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90001893,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90001894,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90001895,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90001896,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90001897,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90001898,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90001899,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90001900,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90001901,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90001902,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90001903,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90001904,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90003554,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90007255,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90007256,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90007257,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90007258,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90007259,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90007855,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008097,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008098,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008099,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008100,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008101,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008102,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008103,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008104,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008105,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008106,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008107,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008410,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008411,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008412,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008413,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008414,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008415,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008416,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008417,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008418,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008419,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008420,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008421,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008422,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008423,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008424,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008425,001,348,U31171501_BRG_FLN,BRG FLANGED,10
90008426,001,348,U31171501_BRG_FLN,BRG FLANGED,10
