Material,Class Type,Class No,Class Desc,Class Key Word,Internal char no.,Characteristic Value,Value from,Value to,Code
90008293,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_HZ,,60,0,1
90008293,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_PHASE,,3,0,1
90008293,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_POWER_HP,,1,0,1
90008293,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_RATIO,20.8:1,0,0,1
90008293,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_OUTPUT_RPM_1,,84,0,1
90008293,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_SERVICE_FACTOR_1,,1,0,1
90008294,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_VOLTAGE,,460,0,1
90008294,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_TORQUE_RATING_FT_LBF,,78.92,0,1
90008294,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_SHAFT_DIAMETER_INCH,,1,0,1
90008294,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_CONDUIT_BOX_POSITION,3,0,0,1
90008294,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_HZ,,60,0,1
90008294,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_PHASE,,3,0,1
90008294,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_POWER_HP,,0.75,0,1
90008294,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_RATIO,34.16:1,0,0,1
90008294,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_OUTPUT_RPM_1,,50,0,1
90008294,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_SERVICE_FACTOR_1,,1.4,0,1
90008295,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_VOLTAGE,,480,0,1
90008295,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOUNT_POSITION,M6,0,0,1
90008295,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_TORQUE_RATING_FT_LBF,,68.67,0,1
90008295,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_SHAFT_DIAMETER_INCH,,1,0,1
90008295,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_CONDUIT_BOX_POSITION,4,0,0,1
90008295,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_HZ,,60,0,1
90008295,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_PHASE,,3,0,1
90008295,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_POWER_HP,,0.75,0,1
90008295,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_RATIO,29.77:1,0,0,1
90008295,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_OUTPUT_RPM_1,,57,0,1
90008296,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_VOLTAGE,,460,0,1
90008296,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOUNT_POSITION,M1,0,0,1
90008296,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_TORQUE_RATING_FT_LBF,,256.67,0,1
90008296,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_SHAFT_DIAMETER_INCH,,1.5,0,1
90008296,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_CONDUIT_BOX_POSITION,3,0,0,1
90008296,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_HZ,,60,0,1
90008296,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_PHASE,,3,0,1
90008296,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_POWER_HP,,2,0,1
90008296,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_RATIO,40.92:1,0,0,1
90008296,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_OUTPUT_RPM_1,,41,0,1
90008296,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_SERVICE_FACTOR_1,,1.7,0,1
90008297,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_VOLTAGE,,460,0,1
90008297,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOUNT_POSITION,H3,0,0,1
90008297,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_TORQUE_RATING_FT_LBF,,905.67,0,1
90008297,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_SHAFT_DIAMETER_INCH,,2,0,1
90008297,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_CONDUIT_BOX_POSITION,4,0,0,1
90008297,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_HZ,,60,0,1
90008297,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_PHASE,,3,0,1
90008297,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_POWER_HP,,5,0,1
90008297,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_RATIO,59.17:1,0,0,1
90008297,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_OUTPUT_RPM_1,,29,0,1
90008297,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_SERVICE_FACTOR_1,,1.3,0,1
90008298,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_VOLTAGE,,480,0,1
90008298,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOUNT_POSITION,H3,0,0,1
90008298,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_TORQUE_RATING_FT_LBF,,58.25,0,1
90008298,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_SHAFT_DIAMETER_INCH,,1.44,0,1
90008298,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_CONDUIT_BOX_POSITION,3,0,0,1
90008298,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_HZ,,60,0,1
90008298,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_PHASE,,3,0,1
90008298,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_POWER_HP,,2,0,1
90008298,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_RATIO,9.23:1,0,0,1
90008298,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_OUTPUT_RPM_1,,180,0,1
90008299,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_VOLTAGE,,460,0,1
90008299,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOUNT_POSITION,H1,0,0,1
90008299,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_TORQUE_RATING_FT_LBF,,905.67,0,1
90008299,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_SHAFT_DIAMETER_INCH,,2,0,1
90008299,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_CONDUIT_BOX_POSITION,4,0,0,1
90008299,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_HZ,,60,0,1
90008299,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_PHASE,,3,0,1
90008299,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_POWER_HP,,5,0,1
90008299,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_RATIO,59.17:1,0,0,1
90008299,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_OUTPUT_RPM_1,,29,0,1
90008299,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_SERVICE_FACTOR_1,,1.3,0,1
90011554,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_VOLTAGE,,115,0,1
90011554,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_TORQUE_RATING_N_M,,0.04,0,1
90011554,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_DUTY,30 MIN,0,0,1
90011554,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_FRAME,2.36 IN SQ,0,0,1
90011554,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_AMPERAGE,,0.17,0,1
90011554,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_PHASE,,1,0,1
90011554,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_POWER_HP,,0.01,0,1
90011554,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_POWER_KW,,0.01,0,1
90011554,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_RPM,,1550,0,1
90011554,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_LUBE_TYPE,GREASE,0,0,1
90011554,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_MDL_NO,A6R06BB+G6180D,0,0,1
90011554,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_MFG,SUMITOMO,0,0,1
90011554,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_RATIO,10:1,0,0,1
90011554,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_OUTPUT_RPM_1,,180,0,1
90011556,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_INSULATION,100MOHM,0,0,1
90011556,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_VOLTAGE,,110,0,1
90011556,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_TORQUE_RATING_FT_LBF,,1.06,0,1
90011556,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_SHAFT_DIAMETER_MM,,10,0,1
90011556,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_SHAFT_LENGTH_MM,,27,0,1
90011556,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_FRAME,2.36IN,0,0,1
90011556,001,343,U26111526_GEAR_MOT,GEARMOTOR AC,EAM_MOTOR_HZ,,60,0,1
