COEMF REQUEST#,CIE,VENDOR,VENDOR PART #,Part# found in SAP Desc,Material Group,CLASS ID,CLASS DESCRIPTION,SAP PARTS DESCRIPTION FR,SAP PARTS DESCRIPTION EN,LENGTH,PCMC#,COMMENTS,STATUS,SAP#,RESP
361,3411,REGAL BELOIT POWER TRANSMISSION SOLUTIONS,NP-23T,,U31171504,,,ROULEMENT BILLE UP 2B LCK COLLAR 1.437PO,BEARING BALL PB 2B LCK COLLAR 1.437ID FX,40/40,REGAL BELOIT POWER TRANSMISSION SOLUTIONS / NP-23T,3411v1808.6,PROD,90012767,
361,3411,REGAL BELOIT POWER TRANSMISSION SOLUTIONS,NP-24T,90002012,U31171504,,,ROULEMENT BILLE UP 2B LCK COLLAR 1.50PO,BEARING BALL PB 2B LCK COLLAR ID 1.5IN,39/38,REGAL BELOIT POWER TRANSMISSION SOLUTIONS / NP-24T,3411v1808.6,PROD,90012779,
361,3411,REGAL BELOIT POWER TRANSMISSION SOLUTIONS,NP-24THT,,U31171504,,,ROULEMENT BILLES UP 2B LCK COLLAR 1.5IN,BEARING BALL PB 2B LCK COLLAR 1.5ID HT,39/38,REGAL BELOIT POWER TRANSMISSION SOLUTIONS / NP-24THT,3411v1808.6,PROD,90012762,
361,3411,REGAL BELOIT POWER TRANSMISSION SOLUTIONS,NP-28,,U31171504,,,ROULEMENT BILLE UP BT LCK SSCREW 1.750PO,BEARING BALL PB 2B LCK SETSCREW 1.7500ID,40/40,REGAL BELOIT POWER TRANSMISSION SOLUTIONS / NP-28,3411v1808.6,PROD,90012781,
361,3411,REGAL BELOIT POWER TRANSMISSION SOLUTIONS,NP-31T,,U31171504,,,ROULEMENT BILLE UP 2B LCK COLLAR 1.937PO,BEARING BALL PB 2B LCK COLLAR 1.937ID FX,40/40,REGAL BELOIT POWER TRANSMISSION SOLUTIONS / NP-31T,3411v1808.6,PROD,90012772,
361,3411,Parker,OR37B,,,,,VALVE ECHAP RAPIDE URETHANE 0.375PO NPTF,VALVE QUICK EXAUST URETHANE 0.375IN NPTF,40/40,PARKER / OR37B,3411v1808.6,PROD,90012712,
361,3411,omron,P2RF-08-E,,U39121547,,,SOCLE RELAIS 5A 250VAC DIN VIS 8BR,RELAY SOCKET 5A 250VAC DIN SCREW 8PIN,34/37,OMRON / P2RF-08-E,3411v1808.6,PROD,90012605,
361,3411,PARKER,P32LB93LGNN,,,,,LUBRIFICATEUR PNEUM 0.375PO 150PSI POLY,LUBRICATOR PNEUM 0.375IN 150PSI POLY,39/36,PARKER / P32LB93LGNN,3411v1808.6,PROD,90012713,
361,3411,PARKER,P33EA94EGMBNGP,,U40161505,,,FILTRE PNEUM REGUL 0.5PO 125PSI POLY,FILTER PNEUM REGUL 0.5IN 125PSI POLY,36/36,PARKER / P33EA94EGMBNGP,3411v1808.6,PROD,90012714,
361,3411,PARKER,P33KA00ESE,,U40161505,,,CARTOUCHE FILTRE PNEUM PARKER P33 5MIC,CARTRIDGE FILTER PNEUM PARKER P33 5MIC,38/38,PARKER / P33KA00ESE,3411v1808.6,PROD,90012715,
361,3411,CHEMLINE PLASTICS LIMITED,PAD00,90012738,U31251504,,,ACTUATEUR PNEU À DOUBLE EFFET PAD00,ACTUATOR PNEUMATIC D.A. SERIES PAD00,35/36,CHEMLINE PLASTICS LIMITED / PAD00,3411v1808.6,PROD,90012738,
361,3411,CHEMLINE PLASTICS LIMITED,PAS00,,U31251504,,,ACTUATEUR PNEU RESSORT DE RETOUR PAS00,ACTUATOR PNEUMATIC SPRING RETURN PAS00,38/38,CHEMLINE PLASTICS LIMITED / PAS00,3411v1808.6,PROD,90012739,
361,3411,Parker,PES-C12,90012716,,,,CONNECTEUR ELEC PARKER XM 6PI PES-C12,CONNECTOR ELEC PARKER XM 6FT PES-C12,37/36,PARKER / PES-C12,3411v1808.6,PROD,90012716,
361,3411,omron,PF083A-E,,U39121547,,,SOCLE RELAIS 250VAC 10A DIN VIS MKS 8,RELAY SOCKET 250VAC 10A DIN SCREW MKS 8,37/39,OMRON / PF083A-E,3411v1808.6,PROD,90012608,
361,3411,omron,PF113A-E,,U39121547,,,SOCLE RELAIS 250VAC 10A DIN VIS MKS 11,RELAY SOCKET 250VAC 10A DIN SCREW MKS 11,38/40,OMRON / PF113A-E,3411v1808.6,PROD,90012607,
361,3411,PARKER,PK2002MA01,,,,,KIT JOINT ETANCH PARKER 2MA 2PO,KIT SEAL PARKER 2MA 2IN,31/23,PARKER / PK2002MA01,3411v1808.6,PROD,90012717,
