MATERIAL_NUMBER,MATL GROUP,MATERIAL_SHORT_DESCRIPTION,DUPLICATE_REFERENCE,MANUFACTURER/VENDOR,VENDOR1.x,VENDOR2.x,PART_NUMBER,BRAND,MANUFACTURER/ VENDOR,FinalVendorName,VENDOR,VENDOR1.y,VENDOR2.y,VENDOR PART #,STATUS,Z011.VENDOR,Z011.NAME,Z011.dist
90000047,U31171501,BEARING FLANGED PCMC 30190641 85MM,NA,PCMC,PCMC,NA,30190641,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000048,U31171501,BEARING FLANGED PCMC 30507362 25MM,NA,PCMC,PCMC,NA,30507362,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000049,U31171501,BEARING FLANGED PCMC 30743634 50MM,NA,PCMC,PCMC,NA,30743634,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000050,U31171501,BEARING FLANGED PCMC 36131 25MM 2 BOLTS,NA,PCMC,PCMC,NA,36131,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000051,U31171501,BEARING FLANGED PCMC 72569 35MM,NA,PCMC,PCMC,NA,72569,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000052,U31171506,BEARING LINEAR PCMC 30081169 20MM 45MM,NA,PCMC,PCMC,NA,30081169,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000053,U31171506,BEARING LINEAR PCMC 30500217 190MM,NA,PCMC,PCMC,NA,30500217,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000054,U31171506,BEARING LINEAR PCMC 30500233 190MM,NA,PCMC,PCMC,NA,30500233,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000055,U31171506,BEARING LINEAR PCMC 30510757 30MM 50MM,NA,PCMC,PCMC,NA,30510757,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
90000056,U31171506,BEARING LINEAR PCMC 74659,NA,PCMC,PCMC,NA,74659,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,NA,PCMC                     	50184,27
