Material,Description,Configurable,Manufacturer,Mfr Part Number,Material Type,Material Group,MATL GROUP,MATERIAL_SHORT_DESCRIPTION,DUPLICATE_REFERENCE,MANUFACTURER/VENDOR,VENDOR1.x,VENDOR2.x,PART_NUMBER,BRAND,MANUFACTURER/ VENDOR,FinalVendorName,VENDOR,VENDOR1.y,VENDOR2.y,VENDOR PART #,STATUS,Z011.VENDOR,Z011.NAME,Z011.dist
90000030,BEARING BALL PCMC 160032.208.2 UNIT,NA,50184,160032.208.2,ZER2,U31171504,U31171504,BEARING BALL PCMC 160032.208.2 UNIT,NA,PCMC,PCMC,NA,160032.208.2,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000031,BEARING BALL PCMC 18762 90MM 160MM,NA,50184,18762,ZER2,U31171504,U31171504,BEARING BALL PCMC 18762 90MM 160MM,NA,PCMC,PCMC,NA,18762,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000032,BEARING BALL PCMC 30507700 20MM 52MM,NA,50184,30507700,ZER2,U31171504,U31171504,BEARING BALL PCMC 30507700 20MM 52MM,NA,PCMC,PCMC,NA,30507700,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000033,BEARING BALL PCMC 30516490 30MM 72MM,NA,50184,30516490,ZER2,U31171504,U31171504,BEARING BALL PCMC 30516490 30MM 72MM,NA,PCMC,PCMC,NA,30516490,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000034,BEARING BALL PCMC 30589303 3.14IN 2.08IN,NA,50184,30589303,ZER2,U31171504,U31171504,BEARING BALL PCMC 30589303 3.14IN 2.08IN,NA,PCMC,PCMC,NA,30589303,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000035,BEARING BALL PCMC 30589310 3.14IN 1.93IN,NA,50184,30589310,ZER2,U31171504,U31171504,BEARING BALL PCMC 30589310 3.14IN 1.93IN,NA,PCMC,PCMC,NA,30589310,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000036,BEARING BALL PCMC 36133 35MM,NA,50184,36133,ZER2,U31171504,U31171504,BEARING BALL PCMC 36133 35MM,NA,PCMC,PCMC,NA,36133,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000037,BEARING CAM FOLLOWER INFINITY 517-0032,NA,50113,517-0032,ZER2,U31171530,U31171530,BEARING CAM FOLLOWER INFINITY 517-0032,NA,INFINITY,INFINITY,NA,517-0032,NA,Manufacturer,INFINITY,NA,NA,NA,NA,NA,50113,INFINITY,0
90000038,BEARING CAM FOLLOWER PCMC 36275 90MM,NA,50184,36275,ZER2,U31171530,U31171530,BEARING CAM FOLLOWER PCMC 36275 90MM,NA,PCMC,PCMC,NA,36275,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000039,BEARING FLANGED INFINITY 512-0003 1.0IN,NA,50113,512-0003,ZER2,U31171501,U31171501,BEARING FLANGED INFINITY 512-0003 1.0IN,NA,INFINITY,INFINITY,NA,512-0003,NA,Manufacturer,INFINITY,NA,NA,NA,NA,NA,50113,INFINITY,0
90000040,BEARING FLANGED INFINITY 512-0007 1.25IN,NA,50113,512-0007,ZER2,U31171501,U31171501,BEARING FLANGED INFINITY 512-0007 1.25IN,NA,INFINITY,INFINITY,NA,512-0007,NA,Manufacturer,INFINITY,NA,NA,NA,NA,NA,50113,INFINITY,0
90000041,BEARING FLANGED INFINITY 512-0061A 25MM,NA,50113,512-0061A,ZER2,U31171501,U31171501,BEARING FLANGED INFINITY 512-0061A 25MM,GRP-ED-205,INFINITY,INFINITY,NA,512-0061A,NA,Manufacturer,INFINITY,NA,NA,NA,NA,NA,50113,INFINITY,0
90000042,BEARING FLANGED PCMC 160032.312.2 60MM,NA,50184,160032.312.2,ZER2,U31171501,U31171501,BEARING FLANGED PCMC 160032.312.2 60MM,NA,PCMC,PCMC,NA,160032.312.2,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000043,BEARING FLANGED PCMC 160032.412.2 60MM,NA,50184,160032.412.2,ZER2,U31171501,U31171501,BEARING FLANGED PCMC 160032.412.2 60MM,NA,PCMC,PCMC,NA,160032.412.2,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
90000044,BEARING FLANGED PCMC 160832.208.2 40MM,NA,50184,160832.208.2,ZER2,U31171501,U31171501,BEARING FLANGED PCMC 160832.208.2 40MM,NA,PCMC,PCMC,NA,160832.208.2,NA,Manufacturer,PCMC,NA,NA,NA,NA,NA,50184,PCMC,0
