Material,Description,Configurable,Manufacturer,Mfr Part Number,Material Type,Material Group,MATL GROUP,MATERIAL_SHORT_DESCRIPTION,DUPLICATE_REFERENCE,MANUFACTURER/VENDOR,VENDOR1.x,VENDOR2.x,PART_NUMBER,BRAND,MANUFACTURER/ VENDOR,FinalVendorName,VENDOR,VENDOR1.y,VENDOR2.y,VENDOR PART #,STATUS,Z011.VENDOR,Z011.NAME,Z011.dist
90010066,VALVE  CONTROL GÖPFERT 252572,NA,50093,252572,ZER2,U40141609,U40141609,VALVE  CONTROL GÖPFERT 252572,NA,GOPFERT,GOPFERT,NA,252572,NA,Manufacturer,GOPFERT,NA,NA,NA,NA,NA,50093,GOPFERT,0
90010067,VALVE  CONTROL GÖPFERT 208515,NA,50093,208515,ZER2,U40141609,U40141609,VALVE  CONTROL GÖPFERT 208515,NA,GOPFERT,GOPFERT,NA,208515,NA,Manufacturer,GOPFERT,NA,NA,NA,NA,NA,50093,GOPFERT,0
90010068,VALVE  CONTROL GÖPFERT 248347,NA,50093,248347,ZER2,U40141609,U40141609,VALVE  CONTROL GÖPFERT 248347,NA,GOPFERT,GOPFERT,NA,248347,NA,Manufacturer,GOPFERT,NA,NA,NA,NA,NA,50093,GOPFERT,0
90010069,VALVE  CONTROL GÖPFERT 204691,NA,50093,204691,ZER2,U40141609,U40141609,VALVE  CONTROL GÖPFERT 204691,NA,GOPFERT,GOPFERT,NA,204691,NA,Manufacturer,GOPFERT,NA,NA,NA,NA,NA,50093,GOPFERT,0
90010070,VALVE  CONTROL GÖPFERT 236678,NA,50093,236678,ZER2,U40141609,U40141609,VALVE  CONTROL GÖPFERT 236678,NA,GOPFERT,GOPFERT,NA,236678,NA,Manufacturer,GOPFERT,NA,NA,NA,NA,NA,50093,GOPFERT,0
90010071,VALVE  CONTROL GÖPFERT 201209,NA,50093,201209,ZER2,U40141609,U40141609,VALVE  CONTROL GÖPFERT 201209,NA,GOPFERT,GOPFERT,NA,201209,NA,Manufacturer,GOPFERT,NA,NA,NA,NA,NA,50093,GOPFERT,0
90010072,VALVE  CONTROL GÖPFERT 230578,NA,50093,230578,ZER2,U40141609,U40141609,VALVE  CONTROL GÖPFERT 230578,NA,GOPFERT,GOPFERT,NA,230578,NA,Manufacturer,GOPFERT,NA,NA,NA,NA,NA,50093,GOPFERT,0
90010073,VALVE  CONTROL GÖPFERT 255135,NA,50093,255135,ZER2,U40141609,U40141609,VALVE  CONTROL GÖPFERT 255135,NA,GOPFERT,GOPFERT,NA,255135,NA,Manufacturer,GOPFERT,NA,NA,NA,NA,NA,50093,GOPFERT,0
90010074,VALVE  CONTROL GÖPFERT 204652,NA,50093,204652,ZER2,U40141609,U40141609,VALVE  CONTROL GÖPFERT 204652,NA,GOPFERT,GOPFERT,NA,204652,NA,Manufacturer,GOPFERT,NA,NA,NA,NA,NA,50093,GOPFERT,0
90010075,VALVE  CONTROL GÖPFERT 236656,NA,50093,236656,ZER2,U40141609,U40141609,VALVE  CONTROL GÖPFERT 236656,NA,GOPFERT,GOPFERT,NA,236656,NA,Manufacturer,GOPFERT,NA,NA,NA,NA,NA,50093,GOPFERT,0
90010076,VALVE  CONTROL GÖPFERT 210198,NA,50093,210198,ZER2,U40141609,U40141609,VALVE  CONTROL GÖPFERT 210198,NA,GOPFERT,GOPFERT,NA,210198,NA,Manufacturer,GOPFERT,NA,NA,NA,NA,NA,50093,GOPFERT,0
90010077,VALVE  CONTROL GÖPFERT 210298,NA,50093,210298,ZER2,U40141609,U40141609,VALVE  CONTROL GÖPFERT 210298,NA,GOPFERT,GOPFERT,NA,210298,NA,Manufacturer,GOPFERT,NA,NA,NA,NA,NA,50093,GOPFERT,0
90010078,VALVE  CONTROL GÖPFERT 227148,NA,50093,227148,ZER2,U40141609,U40141609,VALVE  CONTROL GÖPFERT 227148,NA,GOPFERT,GOPFERT,NA,227148,NA,Manufacturer,GOPFERT,NA,NA,NA,NA,NA,50093,GOPFERT,0
90010079,VALVE  CONTROL GÖPFERT 228241,NA,50093,228241,ZER2,U40141609,U40141609,VALVE  CONTROL GÖPFERT 228241,NA,GOPFERT,GOPFERT,NA,228241,NA,Manufacturer,GOPFERT,NA,NA,NA,NA,NA,50093,GOPFERT,0
90010080,VALVE  CONTROL GÖPFERT 235314,NA,50093,235314,ZER2,U40141609,U40141609,VALVE  CONTROL GÖPFERT 235314,NA,GOPFERT,GOPFERT,NA,235314,NA,Manufacturer,GOPFERT,NA,NA,NA,NA,NA,50093,GOPFERT,0
90010081,VALVE  CONTROL GÖPFERT 235327,NA,50093,235327,ZER2,U40141609,U40141609,VALVE  CONTROL GÖPFERT 235327,NA,GOPFERT,GOPFERT,NA,235327,NA,Manufacturer,GOPFERT,NA,NA,NA,NA,NA,50093,GOPFERT,0
90010082,VALVE  CONTROL GÖPFERT 310198,NA,50093,310198,ZER2,U40141609,U40141609,VALVE  CONTROL GÖPFERT 310198,NA,GOPFERT,GOPFERT,NA,310198,NA,Manufacturer,GOPFERT,NA,NA,NA,NA,NA,50093,GOPFERT,0
90010083,VALVE  CONTROL GÖPFERT 204649,NA,50093,204649,ZER2,U40141609,U40141609,VALVE  CONTROL GÖPFERT 204649,NA,GOPFERT,GOPFERT,NA,204649,NA,Manufacturer,GOPFERT,NA,NA,NA,NA,NA,50093,GOPFERT,0
90010084,VALVE  CONTROL GÖPFERT 207694,NA,50093,207694,ZER2,U40141609,U40141609,VALVE  CONTROL GÖPFERT 207694,NA,GOPFERT,GOPFERT,NA,207694,NA,Manufacturer,GOPFERT,NA,NA,NA,NA,NA,50093,GOPFERT,0
90010085,VALVE  CONTROL GÖPFERT 213139,NA,50093,213139,ZER2,U40141609,U40141609,VALVE  CONTROL GÖPFERT 213139,NA,GOPFERT,GOPFERT,NA,213139,NA,Manufacturer,GOPFERT,NA,NA,NA,NA,NA,50093,GOPFERT,0
90010086,VALVE  CONTROL GÖPFERT 215254,NA,50093,215254,ZER2,U40141609,U40141609,VALVE  CONTROL GÖPFERT 215254,NA,GOPFERT,GOPFERT,NA,215254,NA,Manufacturer,GOPFERT,NA,NA,NA,NA,NA,50093,GOPFERT,0
90010087,VALVE  CONTROL GÖPFERT 241085,NA,50093,241085,ZER2,U40141609,U40141609,VALVE  CONTROL GÖPFERT 241085,NA,GOPFERT,GOPFERT,NA,241085,NA,Manufacturer,GOPFERT,NA,NA,NA,NA,NA,50093,GOPFERT,0
90010088,VALVE DIAPHRAGM GÖPFERT 230579,NA,50093,230579,ZER2,U40141621,U40141621,VALVE DIAPHRAGM GÖPFERT 230579,NA,GOPFERT,GOPFERT,NA,230579,NA,Manufacturer,GOPFERT,NA,NA,NA,NA,NA,50093,GOPFERT,0
90010089,VALVE PRESS REDUCING GÖPFERT 245800,NA,50093,245800,ZER2,U40141640,U40141640,VALVE PRESS REDUCING GÖPFERT 245800,NA,GOPFERT,GOPFERT,NA,245800,NA,Manufacturer,GOPFERT,NA,NA,NA,NA,NA,50093,GOPFERT,0
90010090,VALVE PRESS REDUCING GÖPFERT 201221,NA,50093,201221,ZER2,U40141640,U40141640,VALVE PRESS REDUCING GÖPFERT 201221,NA,GOPFERT,GOPFERT,NA,201221,NA,Manufacturer,GOPFERT,NA,NA,NA,NA,NA,50093,GOPFERT,0
90010091,VALVE PRESS REDUCING GÖPFERT 218403,NA,50093,218403,ZER2,U40141640,U40141640,VALVE PRESS REDUCING GÖPFERT 218403,NA,GOPFERT,GOPFERT,NA,218403,NA,Manufacturer,GOPFERT,NA,NA,NA,NA,NA,50093,GOPFERT,0
90010092,VALVE PRESS REDUCING GÖPFERT 231814,NA,50093,231814,ZER2,U40141640,U40141640,VALVE PRESS REDUCING GÖPFERT 231814,NA,GOPFERT,GOPFERT,NA,231814,NA,Manufacturer,GOPFERT,NA,NA,NA,NA,NA,50093,GOPFERT,0
90010093,WASHER THRUST GÖPFERT 176107,NA,50093,176107,ZER2,U31161814,U31161814,WASHER THRUST GÖPFERT 176107,NA,GOPFERT,GOPFERT,NA,176107,NA,Manufacturer,GOPFERT,NA,NA,NA,NA,NA,50093,GOPFERT,0
90010094,WASHER THRUST GÖPFERT 108083,NA,50093,108083,ZER2,U31161814,U31161814,WASHER THRUST GÖPFERT 108083,NA,GOPFERT,GOPFERT,NA,108083,NA,Manufacturer,GOPFERT,NA,NA,NA,NA,NA,50093,GOPFERT,0
90010095,WASHER THRUST GÖPFERT 108084,NA,50093,108084,ZER2,U31161814,U31161814,WASHER THRUST GÖPFERT 108084,NA,GOPFERT,GOPFERT,NA,108084,NA,Manufacturer,GOPFERT,NA,NA,NA,NA,NA,50093,GOPFERT,0
90010096,WASHER THRUST GÖPFERT 202741,NA,50093,202741,ZER2,U31161814,U31161814,WASHER THRUST GÖPFERT 202741,NA,GOPFERT,GOPFERT,NA,202741,NA,Manufacturer,GOPFERT,NA,NA,NA,NA,NA,50093,GOPFERT,0
90010097,WHEEL GÖPFERT 172192,NA,50093,172192,ZER2,U31162702,U31162702,WHEEL GÖPFERT 172192,NA,GOPFERT,GOPFERT,NA,172192,NA,Manufacturer,GOPFERT,NA,NA,NA,NA,NA,50093,GOPFERT,0
90010098,WHEEL GÖPFERT 304754,NA,50093,304754,ZER2,U31162702,U31162702,WHEEL GÖPFERT 304754,NA,GOPFERT,GOPFERT,NA,304754,NA,Manufacturer,GOPFERT,NA,NA,NA,NA,NA,50093,GOPFERT,0
90010099,WHEEL GÖPFERT 304760,NA,50093,304760,ZER2,U31162702,U31162702,WHEEL GÖPFERT 304760,NA,GOPFERT,GOPFERT,NA,304760,NA,Manufacturer,GOPFERT,NA,NA,NA,NA,NA,50093,GOPFERT,0
90010100,BEARING BUSHING MHI YGE0975-D,NA,50150,YGE0975-D,ZER2,U31171515,U31171515,BEARING BUSHING MHI YGE0975-D,NA,MHI,MHI,NA,YGE0975-D,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010101,BEARING BUSHING MHI YGE8679,NA,50150,YGE8679,ZER2,U31171515,U31171515,BEARING BUSHING MHI YGE8679,NA,MHI,MHI,NA,YGE8679,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010102,BEARING BUSHING MHI YPE3790-F,NA,50150,YPE3790-F,ZER2,U31171515,U31171515,BEARING BUSHING MHI YPE3790-F,NA,MHI,MHI,NA,YPE3790-F,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010103,BEARING BUSHING MHI YPE9728,NA,50150,YPE9728,ZER2,U31171515,U31171515,BEARING BUSHING MHI YPE9728,NA,MHI,MHI,NA,YPE9728,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010104,BEARING BUSHING MHI YSE2761-A,NA,50150,YSE2761-A,ZER2,U31171515,U31171515,BEARING BUSHING MHI YSE2761-A,NA,MHI,MHI,NA,YSE2761-A,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010105,BEARING BUSHING MHI YSE4253-A,NA,50150,YSE4253-A,ZER2,U31171515,U31171515,BEARING BUSHING MHI YSE4253-A,NA,MHI,MHI,NA,YSE4253-A,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010106,BEARING BUSHING MHI YSE4253-D,NA,50150,YSE4253-D,ZER2,U31171515,U31171515,BEARING BUSHING MHI YSE4253-D,NA,MHI,MHI,NA,YSE4253-D,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010107,BEARING BUSHING MHI YSE4253-G,NA,50150,YSE4253-G,ZER2,U31171515,U31171515,BEARING BUSHING MHI YSE4253-G,NA,MHI,MHI,NA,YSE4253-G,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010108,BEARING BUSHING MHI YSE4253-H,NA,50150,YSE4253-H,ZER2,U31171515,U31171515,BEARING BUSHING MHI YSE4253-H,NA,MHI,MHI,NA,YSE4253-H,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010109,BEARING BUSHING MHI YSE4347-B,NA,50150,YSE4347-B,ZER2,U31171515,U31171515,BEARING BUSHING MHI YSE4347-B,NA,MHI,MHI,NA,YSE4347-B,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010110,BEARING BUSHING MHI YSE4371,NA,50150,YSE4371,ZER2,U31171515,U31171515,BEARING BUSHING MHI YSE4371,NA,MHI,MHI,NA,YSE4371,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010111,BEARING BUSHING MHI YSE5399-A,NA,50150,YSE5399-A,ZER2,U31171515,U31171515,BEARING BUSHING MHI YSE5399-A,NA,MHI,MHI,NA,YSE5399-A,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010112,BEARING BUSHING MHI YCE5284,NA,50150,YCE5284,ZER2,U31171515,U31171515,BEARING BUSHING MHI YCE5284,NA,MHI,MHI,NA,YCE5284,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010113,BEARING BUSHING MHI YSE7075-A,NA,50150,YSE7075-A,ZER2,U31171515,U31171515,BEARING BUSHING MHI YSE7075-A,NA,MHI,MHI,NA,YSE7075-A,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010114,BEARING BUSHING MHI YSE7075-C,NA,50150,YSE7075-C,ZER2,U31171515,U31171515,BEARING BUSHING MHI YSE7075-C,NA,MHI,MHI,NA,YSE7075-C,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010115,BEARING BUSHING MHI 06-00005-K1020 25MM,NA,50150,06-00005-K1020,ZER2,U31171515,U31171515,BEARING BUSHING MHI 06-00005-K1020 25MM,NA,MHI,MHI,NA,06-00005-K1020,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010116,BEARING BUSHING MHI 06-00005-P0032 35MM,NA,50150,06-00005-P0032,ZER2,U31171515,U31171515,BEARING BUSHING MHI 06-00005-P0032 35MM,NA,MHI,MHI,NA,06-00005-P0032,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010117,BEARING BUSHING MHI 06-00005-S0050 45MM,NA,50150,06-00005-S0050,ZER2,U31171515,U31171515,BEARING BUSHING MHI 06-00005-S0050 45MM,NA,MHI,MHI,NA,06-00005-S0050,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010118,BEARING BUSHING MHI 0K-SSSSS-10611 15MM,NA,50150,0K-SSSSS-10611,ZER2,U31171515,U31171515,BEARING BUSHING MHI 0K-SSSSS-10611 15MM,NA,MHI,MHI,NA,0K-SSSSS-10611,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010119,BEARING BUSHING MHI 0X-B0081-10015 10MM,NA,50150,0X-B0081-10015,ZER2,U31171515,U31171515,BEARING BUSHING MHI 0X-B0081-10015 10MM,NA,MHI,MHI,NA,0X-B0081-10015,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010120,BEARING BUSHING MHI 0X-B0181-B1210 12MM,NA,50150,0X-B0181-B1210,ZER2,U31171515,U31171515,BEARING BUSHING MHI 0X-B0181-B1210 12MM,NA,MHI,MHI,NA,0X-B0181-B1210,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010121,BEARING BUSHING MHI 0X-B0021-14020 14MM,NA,50150,0X-B0021-14020,ZER2,U31171515,U31171515,BEARING BUSHING MHI 0X-B0021-14020 14MM,NA,MHI,MHI,NA,0X-B0021-14020,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010122,BEARING BUSHING MHI 0X-B0021-15020 15MM,NA,50150,0X-B0021-15020,ZER2,U31171515,U31171515,BEARING BUSHING MHI 0X-B0021-15020 15MM,NA,MHI,MHI,NA,0X-B0021-15020,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010123,BEARING BUSHING MHI 0X-B0021-20030 20MM,NA,50150,0X-B0021-20030,ZER2,U31171515,U31171515,BEARING BUSHING MHI 0X-B0021-20030 20MM,NA,MHI,MHI,NA,0X-B0021-20030,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010124,BEARING BUSHING MHI 0X-B0101-H0030 25MM,NA,50150,0X-B0101-H0030,ZER2,U31171515,U31171515,BEARING BUSHING MHI 0X-B0101-H0030 25MM,NA,MHI,MHI,NA,0X-B0101-H0030,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010125,BEARING BUSHING MHI 0X-B0021-30040 30MM,NA,50150,0X-B0021-30040,ZER2,U31171515,U31171515,BEARING BUSHING MHI 0X-B0021-30040 30MM,NA,MHI,MHI,NA,0X-B0021-30040,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010126,BEARING BUSHING MHI 0X-B0021-50020 50MM,NA,50150,0X-B0021-50020,ZER2,U31171515,U31171515,BEARING BUSHING MHI 0X-B0021-50020 50MM,NA,MHI,MHI,NA,0X-B0021-50020,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010127,BEARING BUSHING MHI 0X-B0021-08010 8MM,NA,50150,0X-B0021-08010,ZER2,U31171515,U31171515,BEARING BUSHING MHI 0X-B0021-08010 8MM,NA,MHI,MHI,NA,0X-B0021-08010,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010128,BEARING BUSHING MHI 0X-B0021-10006 10MM,NA,50150,0X-B0021-10006,ZER2,U31171515,U31171515,BEARING BUSHING MHI 0X-B0021-10006 10MM,NA,MHI,MHI,NA,0X-B0021-10006,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010129,BEARING BUSHING MHI 0X-B0021-18020 18MM,NA,50150,0X-B0021-18020,ZER2,U31171515,U31171515,BEARING BUSHING MHI 0X-B0021-18020 18MM,NA,MHI,MHI,NA,0X-B0021-18020,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010130,BEARING BUSHING MHI 0X-B0021-20010 20MM,NA,50150,0X-B0021-20010,ZER2,U31171515,U31171515,BEARING BUSHING MHI 0X-B0021-20010 20MM,NA,MHI,MHI,NA,0X-B0021-20010,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010131,BEARING BUSHING MHI 0X-B0021-35012 35MM,NA,50150,0X-B0021-35012,ZER2,U31171515,U31171515,BEARING BUSHING MHI 0X-B0021-35012 35MM,NA,MHI,MHI,NA,0X-B0021-35012,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010132,BEARING BUSHING MHI 0X-B0041-W1815 18MM,NA,50150,0X-B0041-W1815,ZER2,U31171515,U31171515,BEARING BUSHING MHI 0X-B0041-W1815 18MM,NA,MHI,MHI,NA,0X-B0041-W1815,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010133,BEARING BUSHING MHI 0X-B0011-F1612 16MM,NA,50150,0X-B0011-F1612,ZER2,U31171515,U31171515,BEARING BUSHING MHI 0X-B0011-F1612 16MM,NA,MHI,MHI,NA,0X-B0011-F1612,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010134,BEARING BUSHING MHI 06-00023-N0050 90MM,NA,50150,06-00023-N0050,ZER2,U31171515,U31171515,BEARING BUSHING MHI 06-00023-N0050 90MM,NA,MHI,MHI,NA,06-00023-N0050,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010135,BEARING BUSHING MHI 0K-SSSSS-09873 12MM,NA,50150,0K-SSSSS-09873,ZER2,U31171515,U31171515,BEARING BUSHING MHI 0K-SSSSS-09873 12MM,NA,MHI,MHI,NA,0K-SSSSS-09873,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010136,BEARING BUSHING MHI 0K-TTTTT-00139 20MM,NA,50150,0K-TTTTT-00139,ZER2,U31171515,U31171515,BEARING BUSHING MHI 0K-TTTTT-00139 20MM,NA,MHI,MHI,NA,0K-TTTTT-00139,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010137,BEARING BUSHING MHI 0K-SSSSS-00469 14MM,NA,50150,0K-SSSSS-00469,ZER2,U31171515,U31171515,BEARING BUSHING MHI 0K-SSSSS-00469 14MM,NA,MHI,MHI,NA,0K-SSSSS-00469,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010138,BEARING BUSHING MHI 0K-SSSSS-05025 25MM,NA,50150,0K-SSSSS-05025,ZER2,U31171515,U31171515,BEARING BUSHING MHI 0K-SSSSS-05025 25MM,NA,MHI,MHI,NA,0K-SSSSS-05025,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010139,BEARING BUSHING MHI 0X-B0111-L1050 40MM,NA,50150,0X-B0111-L1050,ZER2,U31171515,U31171515,BEARING BUSHING MHI 0X-B0111-L1050 40MM,NA,MHI,MHI,NA,0X-B0111-L1050,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010140,BEARING BUSHING MHI 0X-B0111-P0050 55MM,NA,50150,0X-B0111-P0050,ZER2,U31171515,U31171515,BEARING BUSHING MHI 0X-B0111-P0050 55MM,NA,MHI,MHI,NA,0X-B0111-P0050,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010141,BEARING BUSHING MHI YGE5895,NA,50150,YGE5895,ZER2,U31171515,U31171515,BEARING BUSHING MHI YGE5895,NA,MHI,MHI,NA,YGE5895,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010142,BEARING BUSHING MHI 0K-YYYYY-03803 20MM,NA,50150,0K-YYYYY-03803,ZER2,U31171515,U31171515,BEARING BUSHING MHI 0K-YYYYY-03803 20MM,NA,MHI,MHI,NA,0K-YYYYY-03803,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010143,BEARING BUSHING MHI YSE2761,NA,50150,YSE2761,ZER2,U31171515,U31171515,BEARING BUSHING MHI YSE2761,NA,MHI,MHI,NA,YSE2761,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010144,BEARING BUSHING MHI YSE4253-E,NA,50150,YSE4253-E,ZER2,U31171515,U31171515,BEARING BUSHING MHI YSE4253-E,NA,MHI,MHI,NA,YSE4253-E,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010145,BEARING BUSHING MHI YSE4253-J,NA,50150,YSE4253-J,ZER2,U31171515,U31171515,BEARING BUSHING MHI YSE4253-J,NA,MHI,MHI,NA,YSE4253-J,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010146,BEARING BUSHING MHI YSE4366,NA,50150,YSE4366,ZER2,U31171515,U31171515,BEARING BUSHING MHI YSE4366,NA,MHI,MHI,NA,YSE4366,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010147,BEARING BUSHING MHI YSE7075-B,NA,50150,YSE7075-B,ZER2,U31171515,U31171515,BEARING BUSHING MHI YSE7075-B,NA,MHI,MHI,NA,YSE7075-B,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010148,BEARING BUSHING MHI 0K-SSSSS-03323 16MM,NA,50150,0K-SSSSS-03323,ZER2,U31171515,U31171515,BEARING BUSHING MHI 0K-SSSSS-03323 16MM,NA,MHI,MHI,NA,0K-SSSSS-03323,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010149,BEARING BUSHING MHI 0K-SSSSS-08924 12MM,NA,50150,0K-SSSSS-08924,ZER2,U31171515,U31171515,BEARING BUSHING MHI 0K-SSSSS-08924 12MM,NA,MHI,MHI,NA,0K-SSSSS-08924,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010150,BEARING SLEEVE BHS 127730700,NA,50022,127730700,ZER2,U31171509,U31171509,BEARING SLEEVE BHS 127730700,NA,BHS,BHS,NA,127730700,NA,Manufacturer,BHS,NA,NA,NA,NA,NA,50022,BHS,0
90010151,BELLOW BHS 116247600 RUBBER 40X17MM,NA,50022,116247600,ZER2,U23153142,U23153142,BELLOW BHS 116247600 RUBBER 40X17MM,NA,BHS,BHS,NA,116247600,NA,Manufacturer,BHS,NA,NA,NA,NA,NA,50022,BHS,0
90010152,BELLOW BHS 161790600,NA,50022,161790600,ZER2,U23153142,U23153142,BELLOW BHS 161790600,NA,BHS,BHS,NA,161790600,NA,Manufacturer,BHS,NA,NA,NA,NA,NA,50022,BHS,0
90010153,BELLOW BHS 601156.20 114M-8,NA,50022,601156.20,ZER2,U23153142,U23153142,BELLOW BHS 601156.20 114M-8,NA,BHS,BHS,NA,601156.20,NA,Manufacturer,BHS,NA,NA,NA,NA,NA,50022,BHS,0
90010154,BELLOW BHS 162185700,NA,50022,162185700,ZER2,U23153142,U23153142,BELLOW BHS 162185700,NA,BHS,BHS,NA,162185700,NA,Manufacturer,BHS,NA,NA,NA,NA,NA,50022,BHS,0
90010155,BELT MHI YFH5120,NA,50150,YFH5120,ZER2,U26111801,U26111801,BELT MHI YFH5120,NA,MHI,MHI,NA,YFH5120,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010156,BELT MHI YGE0614-L,NA,50150,YGE0614-L,ZER2,U26111801,U26111801,BELT MHI YGE0614-L,GRP-ED-159,MHI,MHI,NA,YGE0614-L,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010157,BELT MHI YFH3041-A,NA,50150,YFH3041-A,ZER2,U26111801,U26111801,BELT MHI YFH3041-A,NA,MHI,MHI,NA,YFH3041-A,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010158,BELT MHI B-73 RED SPAN 681mm,NA,50150,B-73,ZER2,U26111801,U26111801,BELT MHI B-73 RED SPAN 681mm,NA,MHI,MHI,NA,B-73,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010159,BELT MHI YCE3261-F,NA,50150,YCE3261-F,ZER2,U26111801,U26111801,BELT MHI YCE3261-F,GRP-ED-134,MHI,MHI,NA,YCE3261-F,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010160,BELT MHI YCE4561,NA,50150,YCE4561,ZER2,U26111801,U26111801,BELT MHI YCE4561,GRP-ED-136,MHI,MHI,NA,YCE4561,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010161,BELT MHI YCE4651-A,NA,50150,YCE4651-A,ZER2,U26111801,U26111801,BELT MHI YCE4651-A,NA,MHI,MHI,NA,YCE4651-A,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010162,BELT MHI YCE4651-B,NA,50150,YCE4651-B,ZER2,U26111801,U26111801,BELT MHI YCE4651-B,NA,MHI,MHI,NA,YCE4651-B,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010163,BELT MHI YCE4651-C,NA,50150,YCE4651-C,ZER2,U26111801,U26111801,BELT MHI YCE4651-C,NA,MHI,MHI,NA,YCE4651-C,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010164,BELT MHI YCE5347-B,NA,50150,YCE5347-B,ZER2,U26111801,U26111801,BELT MHI YCE5347-B,GRP-ED-141,MHI,MHI,NA,YCE5347-B,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
90010165,BELT MHI YFH5120-A,NA,50150,YFH5120-A,ZER2,U26111801,U26111801,BELT MHI YFH5120-A,NA,MHI,MHI,NA,YFH5120-A,NA,Manufacturer,MHI,NA,NA,NA,NA,NA,50150,MHI,0
