Z011VendorNo,Z011VendorName,VendorNames,n,weight,N,prob,weightedScore
50370,JINAN MEIDE,JINAN MEIDE,91,1,91,1,1
50371,JKL COMPONENTS,JKL COMPONENTS,1,1,1,1,1
50372,KB ELECTRONIQUE,KB LECTRONIQUE,1,1,1,1,1
50373,KENDALL,KENDALL,1,1,1,1,1
50374,KLEIN,KLEIN,16,1,16,1,1
50375,KLUBER,KLUBER,2,1,2,1,1
50376,KML,KML,2,1,2,1,1
50377,LAFCO,LAFCO,25,1,25,1,1
50378,LANGSTON,LANGSTON,8,1,8,1,1
50379,LEESON,LEESON,1,1,1,1,1
50380,LESLIE,LESLIE,1,1,1,1,1
50381,LEVITON,LEVITON,15,1,15,1,1
50382,LEXAN,LEXAN,1,1,1,1,1
50383,LINE PROCESS CONTROLS INC,LINE PROCESS CONTROLS INC,2,1,2,1,1
50384,LINEMASTER,LINE MASTER,1,1,4,0.25,0.25
50384,LINEMASTER,LINEMASTER,3,1,4,0.75,0.75
50385,LITHONIA,LITHONIA,1,1,1,1,1
50386,LOVEJOY,LOVEJOY,1,1,1,1,1
50387,LOWELL CORPORATION,LOWELL CORPORATION,1,1,1,1,1
50389,LUBRIPLATE,LUBRIPLATE,1,1,1,1,1
50390,LUMBERG,LUMBERG,1,1,1,1,1
50391,MAC,MAC,1,1,1,1,1
50393,MAGNECRAFT,MAGNECRAFT,1,1,1,1,1
50394,MARCUS,MARCUS,1,1,1,1,1
50396,MAXIFLEX,MAXIFLEX,3,1,3,1,1
50397,MCR,MCR,1,1,1,1,1
50398,METAFLUX,METAFLUX,1,1,1,1,1
50399,MOBIL,MOBIL,8,1,8,1,1
50400,MONARCH,MONARCH,1,1,1,1,1
50401,MRC,MRC,1,1,1,1,1
50402,MUELLER,MUELLER,1,1,1,1,1
50403,MYERS,MYERS,7,1,7,1,1
50404,NEAPCO,NEAPCO,1,1,1,1,1
50406,PANDUIT,PANDUIT,3,1,3,1,1
50407,PBC LINEAR,PBC LINEAR,1,1,1,1,1
50408,PELICAN,PELICAN,1,1,1,1,1
50409,PHILIPS,PHILIPS,15,1,15,1,1
50410,PNEUTECK INC,PNEUTECK INC,1,1,1,1,1
50411,PNEUTROL,PNEUTROL,1,1,1,1,1
50412,POLYMOTION LTD,POLYMOTION LTD,1,1,1,1,1
50413,POLYWATER,POLYWATER,1,1,1,1,1
